FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
ResNet152V2,Full,No,100352,LinearSVM,0.8417,0.8931,0.9706,0.8929,0.9412,0.8576,0.8824,0.9688,0.9356,0.9404,0.9124,0.0429
ResNet152V2,Full,No,100352,MLP,0.9,0.913,0.8824,0.8071,0.9412,0.8576,0.9412,0.941,0.9356,0.9211,0.904,0.0419
ResNet152V2,Full,No,100352,Logistic,0.8417,0.9149,0.9706,0.8929,0.9412,0.8576,0.8824,0.9688,0.9356,0.9404,0.9146,0.0424
ResNet152V2,Full,No,100352,RandomForest,0.8583,0.8297,0.8529,0.8429,0.8824,0.7708,0.8824,0.9375,0.9129,0.8807,0.865,0.0438
ResNet152V2,Full,No,100352,Adaboost,0.8,0.7446,0.7647,0.7964,0.7941,0.8889,0.7647,0.9688,0.8939,0.814,0.823,0.0676
ResNet152V2,Full,No,100352,Gaussian,0.7167,0.8116,0.7059,0.5571,0.7353,0.7743,0.7059,0.8333,0.7121,0.7491,0.7301,0.0716
InceptionV3,Full,No,131072,PCC,0.725,0.7645,0.7059,0.7464,0.7647,0.7986,0.7353,0.7361,0.7386,0.8544,0.757,0.0404
InceptionV3,Full,No,131072,J48,0.65,0.6178,0.6471,0.6821,0.7647,0.6493,0.6176,0.5868,0.6477,0.6298,0.6493,0.0455
InceptionV3,Full,No,131072,RBF,0.8333,0.9149,0.8824,0.7714,0.8824,0.9132,0.7353,0.9097,0.9129,0.907,0.8662,0.0617
InceptionV3,Full,No,131072,LinearSVM,0.825,0.9348,0.9706,0.8214,0.8824,0.8785,0.8824,0.9688,0.9129,0.9404,0.9017,0.0506
InceptionV3,Full,No,131072,MLP,0.8583,0.5,0.8824,0.7964,0.9118,0.8056,0.8235,0.5,0.9356,0.9737,0.7987,0.1587
InceptionV3,Full,No,131072,Logistic,0.8,0.9565,0.9412,0.8214,0.8824,0.8785,0.8824,0.9688,0.9129,0.9404,0.8984,0.0535
InceptionV3,Full,No,131072,RandomForest,0.8083,0.8714,0.8824,0.8429,0.8235,0.8229,0.8529,0.9097,0.8902,0.8474,0.8552,0.0311
InceptionV3,Full,No,131072,Adaboost,0.8333,0.8478,0.8235,0.7,0.7941,0.8264,0.9118,0.8854,0.8902,0.8404,0.8353,0.0564
InceptionV3,Full,No,131072,Gaussian,0.5833,0.7428,0.7059,0.7357,0.7647,0.7951,0.7941,0.8194,0.8674,0.8474,0.7656,0.0774
InceptionResNetV2,Full,No,98304,PCC,0.825,0.9348,0.7059,0.7714,0.8824,0.8264,0.7353,0.8507,0.7652,0.8737,0.8171,0.0681
InceptionResNetV2,Full,No,98304,J48,0.8,0.7011,0.7647,0.7357,0.7059,0.8507,0.7941,0.6389,0.7424,0.7877,0.7521,0.0576
InceptionResNetV2,Full,No,98304,RBF,0.8083,0.9783,0.8529,0.7964,0.9118,0.9375,0.8529,0.9097,0.8902,0.9333,0.8871,0.0556
InceptionResNetV2,Full,No,98304,LinearSVM,0.8,0.9348,0.9118,0.8571,0.9118,0.9688,0.8824,0.9132,0.9129,0.9404,0.9033,0.045
InceptionResNetV2,Full,No,98304,MLP,0.825,0.9565,0.8824,0.8214,0.9118,0.9688,0.8529,0.941,0.9129,0.9211,0.8994,0.0497
InceptionResNetV2,Full,No,98304,Logistic,0.8,0.9348,0.9118,0.8214,0.9118,0.9688,0.8824,0.941,0.9129,0.9667,0.9051,0.0536
InceptionResNetV2,Full,No,98304,RandomForest,0.7667,0.8913,0.8235,0.8786,0.8235,0.941,0.8824,0.9097,0.8068,0.9667,0.869,0.0597
InceptionResNetV2,Full,No,98304,Adaboost,0.8417,0.9348,0.8235,0.8679,0.7941,0.9132,0.8529,0.9375,0.8674,0.814,0.8647,0.0474
InceptionResNetV2,Full,No,98304,Gaussian,0.7667,0.8261,0.7059,0.725,0.7941,0.8785,0.8529,0.875,0.7235,0.9,0.8048,0.0682
MobileNet,Full,No,50176,PCC,0.725,0.721,0.6765,0.8071,0.8235,0.7639,0.5882,0.6632,0.697,0.7877,0.7253,0.069
MobileNet,Full,No,50176,J48,0.7833,0.8279,0.7059,0.7214,0.7647,0.7986,0.7647,0.7604,0.7841,0.8474,0.7758,0.041
MobileNet,Full,No,50176,RBF,0.9083,0.9565,0.9118,0.7821,0.8529,0.9132,0.8824,0.9132,0.9318,1,0.9052,0.0556
MobileNet,Full,No,50176,LinearSVM,0.8833,0.9783,0.9412,0.8321,0.9118,0.941,0.8529,0.9688,0.9545,1,0.9264,0.0524
MobileNet,Full,No,50176,MLP,0.8583,0.9565,0.9118,0.8571,0.9118,0.8542,0.7941,0.9132,0.9129,0.9737,0.8944,0.0508
MobileNet,Full,No,50176,Logistic,0.8833,0.9783,0.9412,0.8321,0.9118,0.941,0.8824,0.9688,0.9545,1,0.9293,0.0489
MobileNet,Full,No,50176,RandomForest,0.85,0.9348,0.9118,0.8429,0.8529,0.8854,0.8235,0.9722,0.9091,1,0.8983,0.0554
MobileNet,Full,No,50176,Adaboost,0.7333,0.9149,0.8235,0.8679,0.8529,0.9375,0.8824,0.9375,0.8523,0.8807,0.8683,0.0573
MobileNet,Full,No,50176,Gaussian,0.6583,0.7464,0.7647,0.6893,0.7353,0.7986,0.6471,0.8299,0.7311,0.8421,0.7443,0.0636
DenseNet121,Full,No,50176,PCC,0.7583,0.6793,0.7647,0.675,0.7353,0.8542,0.7647,0.7569,0.6705,0.9333,0.7592,0.0783
DenseNet121,Full,No,50176,J48,0.7583,0.788,0.7059,0.7679,0.7353,0.8229,0.8235,0.7639,0.697,0.7807,0.7643,0.0408
DenseNet121,Full,No,50176,RBF,0.85,0.9348,0.9118,0.7714,0.9118,0.9688,0.8824,0.941,0.9356,0.914,0.9021,0.0535
DenseNet121,Full,No,50176,LinearSVM,0.9167,0.8714,0.9706,0.8571,0.9118,0.9688,0.9706,0.8819,0.9773,0.9211,0.9247,0.0429
DenseNet121,Full,No,50176,MLP,0.825,0.8514,0.9706,0.7714,0.9706,0.9062,0.9412,0.9688,0.9545,0.9211,0.9081,0.0661
DenseNet121,Full,No,50176,Logistic,0.8917,0.8496,0.9412,0.8214,0.9118,0.9688,0.9706,0.8819,0.9773,0.9211,0.9135,0.0502
DenseNet121,Full,No,50176,RandomForest,0.7583,0.8514,0.9412,0.8071,0.9118,0.8542,0.9412,0.9688,0.9318,0.9474,0.8913,0.0663
DenseNet121,Full,No,50176,Adaboost,0.8583,0.7663,0.8529,0.8679,0.9118,0.8785,0.9118,0.9062,0.9773,0.914,0.8845,0.0523
DenseNet121,Full,No,50176,Gaussian,0.825,0.7464,0.9412,0.7464,0.7941,0.8542,0.8235,0.8854,0.8902,0.8737,0.838,0.0602
DenseNet169,Full,No,81536,PCC,0.775,0.7844,0.7059,0.8071,0.8235,0.8194,0.7941,0.8507,0.7424,0.7877,0.789,0.0395
DenseNet169,Full,No,81536,J48,0.7583,0.7844,0.7647,0.7786,0.6176,0.7604,0.7941,0.8229,0.7197,0.6877,0.7489,0.0565
DenseNet169,Full,No,81536,RBF,0.9417,0.9565,0.9118,0.8071,0.8824,0.8785,0.8235,0.9132,0.9773,0.914,0.9006,0.0516
DenseNet169,Full,No,81536,LinearSVM,0.9667,0.8496,0.9706,0.8214,0.8824,0.9097,0.8824,0.9132,0.9356,0.9474,0.9079,0.0468
