FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
VGG19,Full,No,25088,RBF,0.7097,0.7857,0.9143,0.8205,0.7742,0.8889,0.8889,0.8824,0.9302,0.8718,0.8467,0.0674
VGG19,Full,No,25088,LinearSVM,0.8387,0.8276,0.9412,0.8696,0.9189,0.8889,0.8889,0.9474,0.9545,0.9,0.8976,0.0417
VGG19,Full,No,25088,MLP,0.8387,0.8571,0.9189,0.8636,0.8889,0.9474,0.8571,0.8718,0.9333,0.95,0.8927,0.0392
VGG19,Full,No,25088,Logistic,0.8387,0.8276,0.9412,0.8444,0.9189,0.8889,0.8889,0.9474,0.9545,0.9474,0.8998,0.0467
VGG19,Full,No,25088,RandomForest,0.7879,0.8571,0.9143,0.8837,0.6667,0.9143,0.9143,0.8889,0.9767,0.9,0.8704,0.0818
VGG19,Full,No,25088,Adaboost,0.7647,0.8571,0.8824,0.8095,0.8485,0.875,0.8571,0.8889,0.9767,0.8718,0.8632,0.052
VGG19,Full,No,25088,Gaussian,0.7143,0.5833,0.5517,0.5882,0.56,0.6897,0.5,0.8235,0.7368,0.4615,0.6209,0.1091
ResNet50,Full,No,100352,PCC,0.7059,0.5333,0.7805,0.8182,0.8205,0.7568,0.8571,0.8718,0.7619,0.85,0.7756,0.0945
ResNet50,Full,No,100352,J48,0.6667,0.8,0.8333,0.8205,0.7097,0.7222,0.8,0.8947,0.8571,0.6471,0.7751,0.0794
ResNet50,Full,No,100352,RBF,0.9032,0.8889,0.8649,0.8636,0.9412,0.973,0.8235,0.9474,0.9302,0.9,0.9036,0.0431
ResNet50,Full,No,100352,LinearSVM,0.875,0.9231,0.9143,0.9091,0.9714,0.973,0.9143,1,0.9302,0.9744,0.9385,0.037
ResNet50,Full,No,100352,MLP,0.9032,0.96,0.9143,0.8636,0.9697,0.8889,0.875,0.9231,0.9524,0.9231,0.9173,0.034
ResNet50,Full,No,100352,Logistic,0.875,0.9231,0.9143,0.8889,0.9714,0.973,0.9143,1,0.9524,0.9744,0.9387,0.0393
ResNet50,Full,No,100352,RandomForest,0.8276,0.8148,0.9091,0.8837,0.9412,0.9143,0.9143,0.9714,0.9048,0.8649,0.8946,0.0458
ResNet50,Full,No,100352,Adaboost,0.7692,0.8276,0.9143,0.9091,0.9714,0.8571,0.8649,0.9474,0.9302,0.8718,0.8863,0.0573
ResNet50,Full,No,100352,Gaussian,0.5926,0.6667,0.7647,0.5806,0.56,0.6452,0.8485,0.6452,0.6842,0.6667,0.6654,0.0826
ResNet101,Full,No,100352,PCC,0.6667,0.5882,0.6842,0.7907,0.7895,0.7568,0.7895,0.8,0.7273,0.8205,0.7413,0.0704
ResNet101,Full,No,100352,J48,0.6154,0.7857,0.6667,0.8,0.7742,0.7647,0.7333,0.7692,0.8718,0.8571,0.7638,0.074
ResNet101,Full,No,100352,RBF,0.8235,0.8889,0.9143,0.8372,0.9189,0.9189,0.9091,0.9474,0.9302,0.8649,0.8953,0.0388
ResNet101,Full,No,100352,LinearSVM,0.8571,0.8571,0.9697,0.9091,0.9143,0.9189,0.9091,0.973,0.9524,0.9474,0.9208,0.039
ResNet101,Full,No,100352,MLP,0.6429,0.8333,0.9375,0.8182,0.8485,0.9412,0.9412,0.9714,0.9524,0.8649,0.8751,0.0936
ResNet101,Full,No,100352,Logistic,0.8571,0.8571,0.9697,0.9091,0.9143,0.9189,0.9091,0.973,0.9524,0.9474,0.9208,0.039
