ACC;Xception;VGG16            ;VGG19;ResNet50         ;ResNet101        ;ResNet152        ;ResNet50V2       ;ResNet101V2      ;ResNet152V2      ;InceptionV3      ;InceptionResNetV2;MobileNet        ;DenseNet121      ;DenseNet169      ;DenseNet201      ;NasNetMobile     ;MobileNetV2      ;EfficientNetB0   ;EfficientNetB1   ;EfficientNetB2   ;EfficientNetB3   ;EfficientNetB4   
ACC1;88,57;77,14;80;62,86;74,29;82,86;60;60;71,43;91,43;88,57;88,57;88,57;85,71;94,29;51,43;48,57;88,57;91,43;94,29;94,29;97,14
ACC2;100;97,14;94,29;94,29;94,29;88,57;91,43;82,86;91,43;97,14;91,43;88,57;91,43;91,43;97,14;62,86;77,14;100;91,43;82,86;91,43;94,29
ACC3;85,29;88,24;94,12;85,29;82,35;73,53;88,24;85,29;79,41;97,06;82,35;82,35;88,24;88,24;94,12;88,24;70,59;88,24;85,29;88,24;91,18;88,24
ACC4;88,29;85,29;85,29;88,24;82,35;91,18;91,18;82,35;88,24;91,18;79,41;94,12;91,18;88,24;94,12;50;88,24;94,12;97,06;94,12;91,18;91,18
ACC5;88,24;94,12;91,18;97,06;85,29;88,24;88,24;88,24;91,18;94,12;97,06;97,06;88,24;94,12;94,12;50;91,18;91,18;91,18;88,24;85,29;85,29
ACC6;97,06;91,18;85,29;82,35;85,29;85,29;88,24;85,29;79,41;85,29;85,29;91,18;91,18;85,29;91,18;61,76;85,29;91,18;91,18;85,29;88,24;85,29
ACC7;85,29;85,29;88,24;94,12;82,35;94,12;85,29;88,24;79,41;88,24;94,12;94,12;88,24;91,18;91,18;61,76;82,35;88,24;85,29;94,12;94,12;85,29
ACC8;91,18;94,12;82,35;88,24;85,29;91,18;94,12;85,29;88,24;91,18;82,35;88,24;91,18;91,18;88,24;64,71;85,29;91,18;85,29;94,12;88,24;82,35
ACC9;91,18;88,24;85,29;88,24;82,35;79,41;94,12;91,18;97,06;94,12;88,24;94,12;88,24;88,24;94,12;52,94;82,35;91,18;88,24;85,29;91,18;82,35
ACC10;91,18;82,35;88,24;88,24;88,24;85,29;85,29;82,35;82,35;91,18;85,29;76,47;85,29;85,29;94,12;82,35;79,41;94,12;88,24;91,18;91,18;85,29
