FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
Xception;PCA;No;300;J48;0,7429;0,7714;0,5294;0,5882;0,5588;0,5882;0,5;0,6471;0,6176;0,5588;0,6103;0,0836
Xception;PCA;No;300;RBF;0,7714;0,8571;0,9118;0,8235;0,8529;0,9118;0,8529;0,8824;0,9118;0,8529;0,8629;0,0422
Xception;PCA;No;300;LinearSVM;0,8571;0,8571;0,8235;0,9118;0,8824;0,8824;0,8529;0,9706;0,8529;0,8529;0,8744;0,0392
Xception;PCA;No;300;MLP;0,6857;0,4286;0,6176;0,4706;0,4706;0,6471;0,6176;0,6176;0,6471;0,8235;0,6026;0,112
Xception;PCA;No;300;Logistic;0,8571;0,8571;0,8824;0,9118;0,8824;0,9412;0,8824;0,9412;0,8529;0,8824;0,8891;0,0308
Xception;PCA;No;300;RandomForest;0,6857;0,8857;0,7353;0,7353;0,9118;0,7353;0,6765;0,8235;0,7647;0,7059;0,766;0,0773
Xception;PCA;No;300;Adaboost;0,7429;0,7429;0,7059;0,7647;0,9118;0,7647;0,7941;0,8824;0,7353;0,7059;0,775;0,0663
Xception;PCA;No;300;Gaussian;0,6286;0,7714;0,7059;0,6765;0,7059;0,6765;0,7059;0,7059;0,7353;0,6176;0,6929;0,0436
Xception;UMAP;No;300;J48;0,7429;0,7714;0,7941;0,7059;0,7059;0,7647;0,8235;0,7647;0,6471;0,7941;0,7514;0,0497
Xception;UMAP;No;300;RBF;0,4857;0,4;0,6471;0,6765;0,6471;0,7647;0,7059;0,7647;0,4118;0,6471;0,615;0,1281
Xception;UMAP;No;300;LinearSVM;0,6857;0,8571;0,6471;0,7647;0,6471;0,7059;0,7647;0,7353;0,5294;0,6765;0,7013;0,0835
Xception;UMAP;No;300;MLP;0,6;0,5429;0,6765;0,6176;0,5294;0,5;0,5294;0,5294;0,3529;0,7353;0,5613;0,0994
Xception;UMAP;No;300;Logistic;0,7429;0,8571;0,6471;0,7647;0,7353;0,7353;0,8529;0,7941;0,5294;0,7647;0,7424;0,0914
Xception;UMAP;No;300;RandomForest;0,8286;0,8571;0,8235;0,7647;0,8235;0,7941;0,8235;0,8824;0,7647;0,8235;0,8186;0,0349
Xception;UMAP;No;300;Adaboost;0,8286;0,7714;0,7353;0,8529;0,8529;0,7353;0,8235;0,8529;0,7059;0,7647;0,7924;0,0534
Xception;UMAP;No;300;Gaussian;0,7143;0,8286;0,7353;0,7941;0,7353;0,7941;0,7353;0,7647;0,6765;0,7941;0,7572;0,0436
VGG16;PCA;No;300;J48;0,6286;0,7429;0,6765;0,7353;0,6471;0,5882;0,6471;0,7647;0,5588;0,7059;0,6695;0,0646
VGG16;PCA;No;300;RBF;0,8;0,8;0,8824;0,7647;0,8235;0,8824;0,8824;0,8529;0,9118;0,9412;0,8541;0,053
VGG16;PCA;No;300;LinearSVM;0,8857;0,7714;0,8824;0,8235;0,9412;0,9412;0,7941;0,8529;0,8824;0,8235;0,8598;0,0545
VGG16;PCA;No;300;MLP;0,5143;0,6286;0,6471;0,7647;0,6765;0,4706;0,4412;0,6471;0,6176;0,5294;0,5937;0,0961
VGG16;PCA;No;300;Logistic;0,8571;0,7429;0,8235;0,7941;0,9412;0,9412;0,8529;0,8824;0,9118;0,8824;0,8629;0,0602
VGG16;PCA;No;300;RandomForest;0,5714;0,6857;0,8824;0,7941;0,6176;0,7059;0,6765;0,8235;0,7353;0,6765;0,7169;0,0897
VGG16;PCA;No;300;Adaboost;0,5714;0,6857;0,7647;0,7941;0,6176;0,8529;0,8529;0,7353;0,7941;0,7059;0,7375;0,0891
VGG16;PCA;No;300;Gaussian;0,5429;0,7143;0,7647;0,7059;0,5588;0,7059;0,6176;0,7353;0,7059;0,5588;0,661;0,0787
VGG16;UMAP;No;300;J48;0,6;0,6571;0,6471;0,7647;0,7059;0,6765;0,7059;0,7059;0,5882;0,6765;0,6728;0,0501
