method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
EfficientNetB1+EfficientNetB5_n_feat_PCA_PCC,EfficientNetB1+EfficientNetB5_n_feat,PCA,PCC,542720.0,78.2773,82.6471,81.1765,82.3529,79.4118,80.8824,82.3529,80.8824,79.4118,85.2941,82.3529,82.3529,84.7983,81.5091,6.4782,82.3529,76.9748,85.7143,97.0588,64.7059
EfficientNetB1+EfficientNetB5_n_feat_PCA_J48,EfficientNetB1+EfficientNetB5_n_feat,PCA,J48,542720.0,76.8487,76.8067,79.7479,84.0756,79.7479,77.1429,78.2773,80.8824,79.4118,79.4118,76.4706,81.1765,79.5546,79.0777,6.7597,79.4118,76.4706,82.4789,94.1176,58.8235
EfficientNetB1+EfficientNetB5_n_feat_PCA_RBF,EfficientNetB1+EfficientNetB5_n_feat,PCA,RBF,542720.0,79.7059,83.8235,85.2941,84.0756,83.8235,86.7647,86.9748,88.2353,88.4454,89.7059,89.8740,91.1765,90.0588,86.6702,5.9615,85.2941,82.3529,91.1765,97.1429,73.5294
EfficientNetB1+EfficientNetB5_n_feat_PCA_LinearSVM,EfficientNetB1+EfficientNetB5_n_feat,PCA,LinearSVM,542720.0,80.8824,85.7143,86.9748,85.2941,86.7647,83.8235,82.6050,80.8824,89.7059,91.1765,92.7731,91.1765,91.7983,86.3032,6.0198,85.7143,82.3529,91.1765,97.1429,73.5294
EfficientNetB1+EfficientNetB5_n_feat_PCA_MLP,EfficientNetB1+EfficientNetB5_n_feat,PCA,MLP,542720.0,79.7059,82.6471,85.2941,82.3529,86.7647,86.9748,83.8235,86.9327,80.8824,82.3529,82.6050,83.8235,90.0420,82.7871,5.9707,82.3529,79.4118,88.2353,97.0588,64.7059
EfficientNetB1+EfficientNetB5_n_feat_PCA_Logistic,EfficientNetB1+EfficientNetB5_n_feat,PCA,Logistic,542720.0,78.2773,86.9748,88.2353,86.9748,85.2941,86.7647,82.3529,83.8235,86.9748,91.3025,94.1176,92.7731,91.5042,86.5245,6.0083,88.2353,82.3529,91.1765,97.1429,68.5714
EfficientNetB1+EfficientNetB5_n_feat_PCA_RandomForest,EfficientNetB1+EfficientNetB5_n_feat,PCA,RandomForest,542720.0,77.9411,86.7647,85.2941,85.2941,83.8235,85.2941,83.8235,85.2941,85.2941,84.0756,83.8235,82.8571,90.6471,84.3368,6.2700,85.2941,80.0000,88.2353,97.0588,68.5714
EfficientNetB1+EfficientNetB5_n_feat_PCA_Adaboost,EfficientNetB1+EfficientNetB5_n_feat,PCA,Adaboost,542720.0,80.8824,82.6050,79.4118,85.2941,84.0756,85.5042,83.8235,85.2941,85.5042,86.9748,84.0336,82.6050,89.1933,83.7325,5.9312,85.2941,79.8529,88.2353,97.0588,64.7059
EfficientNetB1+EfficientNetB5_n_feat_PCA_Gaussian,EfficientNetB1+EfficientNetB5_n_feat,PCA,Gaussian,542720.0,76.4706,85.2941,88.2353,82.8571,82.8571,75.3782,73.5294,72.0588,69.5798,69.1176,67.6471,70.5882,79.8319,75.5980,8.1448,73.5294,70.5882,82.4789,97.0588,60.0000
EfficientNetB1+EfficientNetB5_n_feat_UMAP_PCC,EfficientNetB1+EfficientNetB5_n_feat,UMAP,PCC,542720.0,77.9412,82.6050,82.3529,82.8571,82.3529,79.7059,83.8235,85.2941,82.3529,82.3529,81.1765,85.2941,84.7983,81.0273,6.0095,82.3529,76.4706,85.2941,94.1176,61.7647
