method,cnn,reduction,classifier,features,Components,acc,f1,roc
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F200,89.7059,89.8981,89.6855
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F250,88.2353,88.8889,88.2148
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F300,85.5042,86.1004,86.8165
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F350,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F400,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F450,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F500,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F550,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F600,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F700,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F800,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F900,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F1000,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F2,65.2101,68.3569,66.0854
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F10,82.3529,83.9657,82.1487
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F20,82.3529,83.7209,82.2601
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F30,85.2941,86.9318,83.6842
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F40,85.5042,86.9933,86.2878
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F50,82.3529,83.6765,82.4643
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F75,83.8235,84.5238,83.8235
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F100,79.7059,81.8605,82.0972
