method,cnn,reduction,classifier,features,Components,acc,f1,roc
ResNet101_PCA_Logistic,ResNet101,PCA,Logistic,100352.0,F900,nan,nan,nan
ResNet101_PCA_Logistic,ResNet101,PCA,Logistic,100352.0,F1000,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F2,73.9496,74.1667,74.0687
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F10,88.4033,87.3609,88.7734
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F20,86.7647,87.3609,86.2077
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F30,89.8740,91.1688,90.9008
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F40,89.8740,89.8990,90.3509
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F50,88.2353,88.5621,88.6252
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F75,88.2353,88.1945,88.2353
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F100,88.2353,88.5621,88.2353
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F150,85.2941,85.7843,85.5007
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F200,82.6050,82.8431,83.0701
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F250,82.3529,81.8015,82.3529
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F300,78.2773,77.6292,79.0175
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F350,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F400,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F450,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F500,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F550,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F600,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F700,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F800,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F900,nan,nan,nan
ResNet101_PCA_RandomForest,ResNet101,PCA,RandomForest,100352.0,F1000,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F2,72.0588,72.6267,72.5286
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F10,86.7647,86.1905,86.7647
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F20,88.4033,89.4241,88.0487
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F30,88.2353,87.0833,88.2353
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F40,88.2353,88.3037,87.7771
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F50,88.2353,88.7500,87.8019
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F75,88.2353,86.1743,87.2200
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F100,86.7647,88.9229,86.8056
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F150,85.2941,84.0408,84.7853
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F200,85.2941,84.7926,85.7173
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F250,86.9748,88.3037,85.7248
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F300,82.6471,83.3333,82.9333
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F350,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F400,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F450,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F500,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F550,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F600,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F700,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F800,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F900,nan,nan,nan
ResNet101_PCA_Adaboost,ResNet101,PCA,Adaboost,100352.0,F1000,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F2,79.4118,81.2813,79.1156
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F10,82.3529,86.0389,81.5931
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F20,79.4118,81.0168,79.4118
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F30,79.4118,81.0256,78.2773
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F40,75.3782,76.3306,76.4929
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F50,76.4706,81.0168,74.0862
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F75,68.1093,74.9871,67.7250
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F100,67.6471,73.5729,67.7909
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F150,67.6471,71.4052,67.7909
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F200,70.5882,70.5882,70.8333
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F250,69.1176,69.5046,68.9685
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F300,69.1176,66.7182,69.4444
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F350,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F400,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F450,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F500,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F550,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F600,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F700,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F800,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F900,nan,nan,nan
ResNet101_PCA_Gaussian,ResNet101,PCA,Gaussian,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F2,73.9076,74.7093,74.7222
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F10,74.2857,77.0979,76.1111
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F20,75.3782,77.9352,77.2704
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F30,76.4706,80.9091,77.4019
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F40,74.2857,77.1197,75.7638
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F50,78.2773,79.3939,77.6450
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F75,77.1429,79.4737,77.6065
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F100,77.1429,79.1304,78.5763
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F150,76.4706,80.0000,77.4399
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F200,75.3782,80.0000,76.1519
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F250,77.1429,80.4762,77.8508
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F300,76.4706,78.4981,76.2562
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F350,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F400,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F450,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F500,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F550,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F600,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F700,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F800,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F900,nan,nan,nan
ResNet101_UMAP_PCC,ResNet101,UMAP,PCC,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F2,72.0588,69.8588,72.3550
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F10,69.1176,70.4838,69.9532
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F20,75.3782,74.6429,76.0417
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F30,73.5294,74.9807,73.6965
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F40,73.5294,71.8475,73.5294
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F50,75.0000,78.0194,75.3406
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F75,70.5882,72.2222,70.7107
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F100,72.4790,72.9532,71.3691
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F150,71.0084,72.0692,70.3636
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F200,76.4706,77.5252,76.7769
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F250,73.9076,71.6577,73.2292
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F300,71.0084,70.2941,70.4167
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F350,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F400,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F450,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F500,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F550,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F600,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F700,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F800,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F900,nan,nan,nan
ResNet101_UMAP_J48,ResNet101,UMAP,J48,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F2,75.0000,78.3101,74.8329
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F10,73.5294,78.0488,73.7823
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F20,73.5294,77.4860,73.5294
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F30,72.0588,75.3379,73.0494
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F40,72.0588,75.6709,71.7525
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F50,70.5882,75.5928,68.2328
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F75,70.5882,74.7093,70.1900
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F100,69.1176,74.8066,69.8995
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F150,67.6471,74.6199,65.8411
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F200,61.7647,70.6907,59.5665
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F250,69.1176,74.7093,69.1176
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F300,66.1765,72.6259,67.5077
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F350,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F400,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F450,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F500,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F550,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F600,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F700,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F800,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F900,nan,nan,nan
ResNet101_UMAP_RBF,ResNet101,UMAP,RBF,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F2,55.8824,55.8442,56.6964
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F10,76.4706,79.0244,76.2710
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F20,75.0000,78.0488,76.2710
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F30,75.3782,77.9133,75.7638
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F40,75.3782,78.0488,75.0378
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F50,75.3782,77.3504,76.1039
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F75,75.3782,78.4238,76.2710
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F100,75.0000,79.5349,76.1117
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F150,76.4706,78.8889,76.2710
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F200,76.4706,78.8889,76.2710
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F250,76.4706,78.8889,76.3035
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F300,76.4706,78.8889,76.3035
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F350,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F400,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F450,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F500,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F550,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F600,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F700,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F800,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F900,nan,nan,nan
ResNet101_UMAP_LinearSVM,ResNet101,UMAP,LinearSVM,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F2,70.5882,72.9532,70.4861
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F10,79.4118,81.0256,77.9811
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F20,77.9412,80.5405,78.1456
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F30,79.4118,78.7097,77.0708
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F40,76.8067,78.7097,77.4019
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F50,70.5882,73.6842,71.5260
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F75,73.9076,77.4860,74.1009
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F100,69.5798,73.3974,70.6913
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F150,76.4706,76.3306,75.2528
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F200,57.3529,62.6560,58.1630
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F250,60.9244,68.6154,51.4706
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F300,54.4118,49.9471,50.0000
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F350,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F400,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F450,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F500,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F550,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F600,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F700,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F800,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F900,nan,nan,nan
ResNet101_UMAP_MLP,ResNet101,UMAP,MLP,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F2,57.3529,61.8820,58.2442
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F10,78.5714,79.4737,78.9881
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F20,79.4118,80.5405,79.4118
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F30,79.4118,81.0256,79.5273
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F40,79.4118,82.0513,79.5273
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F50,79.4118,80.5405,79.2893
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F75,79.4118,80.5405,78.7879
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F100,78.2773,80.0000,77.9574
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F150,77.9412,80.0000,76.2710
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F200,79.7059,81.0256,79.5273
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F250,79.4118,82.0040,79.2893
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F300,79.4118,80.5405,79.8574
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F350,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F400,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F450,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F500,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F550,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F600,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F700,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F800,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F900,nan,nan,nan
ResNet101_UMAP_Logistic,ResNet101,UMAP,Logistic,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F2,72.0588,74.3421,71.8669
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F10,77.9412,79.5349,77.9412
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F20,77.9412,80.4762,76.8067
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F30,79.4118,80.0000,78.9269
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F40,79.4118,80.5405,79.4427
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F50,81.1765,83.1300,82.3529
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F75,76.8067,78.2828,76.9853
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F100,79.4118,81.0168,79.4118
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F150,81.1765,82.0856,81.5750
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F200,80.8824,82.0856,81.3280
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F250,81.1765,82.6398,82.5714
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F300,80.8824,81.1655,80.6360
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F350,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F400,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F450,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F500,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F550,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F600,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F700,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F800,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F900,nan,nan,nan
ResNet101_UMAP_RandomForest,ResNet101,UMAP,RandomForest,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F2,69.1176,67.6191,69.1176
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F10,73.5294,75.9331,73.9175
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F20,72.8572,74.3421,74.7632
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F30,78.2773,81.1655,78.4869
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F40,77.9412,80.5405,76.4916
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F50,76.4706,77.1242,76.4706
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F75,74.2857,76.8623,76.3055
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F100,73.5294,78.0303,71.6867
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F150,76.8067,78.4981,78.4559
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F200,75.0000,75.3782,74.7856
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F250,79.4118,80.0755,79.8884
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F300,78.2773,76.8200,78.8949
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F350,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F400,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F450,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F500,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F550,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F600,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F700,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F800,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F900,nan,nan,nan
ResNet101_UMAP_Adaboost,ResNet101,UMAP,Adaboost,100352.0,F1000,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F2,69.5798,70.6190,70.9632
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F10,76.8067,79.5349,77.4019
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F20,75.3782,76.3926,76.5152
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F30,76.4706,80.0000,75.9546
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F40,76.8067,76.9231,76.0714
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F50,76.4706,78.6796,76.3366
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F75,79.4118,79.3939,77.9574
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F100,78.2773,77.7473,77.3214
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F150,79.4118,79.9345,79.2893
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F200,75.3782,77.7473,74.4048
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F250,76.8067,80.0000,77.7652
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F300,76.4706,80.4762,76.3035
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F350,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F400,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F450,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F500,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F550,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F600,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F700,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F800,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F900,nan,nan,nan
ResNet101_UMAP_Gaussian,ResNet101,UMAP,Gaussian,100352.0,F1000,nan,nan,nan
ResNet101_ReliefF_PCC,ResNet101,ReliefF,PCC,100352.0,F2,77.9412,81.3043,77.4714
