method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
EfficientNetB1+EfficientNetB5_ReliefF_J48,EfficientNetB1+EfficientNetB5,ReliefF,J48,542720.0,58.8235,60.2942,66.1765,60.8824,67.6471,68.1513,68.1093,71.0084,65.2101,68.1093,67.6471,68.1093,79.5546,65.9405,8.8904,67.6471,58.8235,71.4286,85.2941,44.1176
EfficientNetB1+EfficientNetB5_ReliefF_RBF,EfficientNetB1+EfficientNetB5,ReliefF,RBF,542720.0,66.1765,71.0084,70.5882,70.5882,73.5294,73.5294,72.0588,73.5294,79.4118,81.1765,82.3529,80.8824,90.0588,73.4916,8.8494,74.2857,67.6471,79.4118,91.1765,42.8571
EfficientNetB1+EfficientNetB5_ReliefF_LinearSVM,EfficientNetB1+EfficientNetB5,ReliefF,LinearSVM,542720.0,55.0840,60.2941,64.7059,63.7815,67.6471,67.6471,72.0588,76.4706,79.4118,82.3529,81.1765,82.6050,91.7983,71.3004,11.0173,71.0084,64.7059,79.4118,94.1176,34.2857
EfficientNetB1+EfficientNetB5_ReliefF_MLP,EfficientNetB1+EfficientNetB5,ReliefF,MLP,542720.0,63.7815,69.1176,73.5294,69.5798,71.0084,75.0000,73.5294,76.4706,79.4118,78.2773,82.3529,82.3529,90.0420,73.4307,9.4831,73.5294,67.6471,79.4118,94.1176,44.1176
EfficientNetB1+EfficientNetB5_ReliefF_Logistic,EfficientNetB1+EfficientNetB5,ReliefF,Logistic,542720.0,63.8235,69.5378,73.5294,69.1176,72.4790,76.4706,73.5294,75.0000,79.7059,80.8824,81.1345,82.3529,91.5042,74.4391,10.5465,76.4706,67.6471,82.3529,97.0588,38.2353
EfficientNetB1+EfficientNetB5_ReliefF_RandomForest,EfficientNetB1+EfficientNetB5,ReliefF,RandomForest,542720.0,66.1765,69.1176,73.9076,77.9412,76.8067,78.2773,79.4118,82.3529,83.8235,85.5042,84.0756,88.2353,90.6471,78.9405,8.4066,79.4118,73.5294,85.2941,94.1176,58.8235
EfficientNetB1+EfficientNetB5_ReliefF_Adaboost,EfficientNetB1+EfficientNetB5,ReliefF,Adaboost,542720.0,63.2353,65.2101,71.0084,70.5882,76.4706,77.9412,73.5294,79.7059,80.8824,82.3529,79.4118,82.6050,89.1933,74.8249,9.8912,76.4706,67.6471,82.3529,91.1765,38.2353
EfficientNetB1+EfficientNetB5_ReliefF_Gaussian,EfficientNetB1+EfficientNetB5,ReliefF,Gaussian,542720.0,61.7647,67.6471,68.1093,72.0588,72.4790,72.4790,72.8572,75.0000,75.0000,75.3782,71.0084,70.5882,79.8319,70.3529,9.9893,70.5882,64.7059,77.1429,85.2941,32.3529
MobileNet+ResNet101_PCA_PCC,MobileNet+ResNet101,PCA,PCC,150528.0,76.4706,88.2353,85.5042,88.2353,88.2353,84.0756,85.2941,83.8235,80.8824,75.0000,70.5882,65.2101,71.4034,80.5980,8.5947,82.3529,76.4706,86.3445,94.1176,48.5714
MobileNet+ResNet101_PCA_J48,MobileNet+ResNet101,PCA,J48,150528.0,69.1176,84.0756,85.2941,82.3529,84.0756,79.7479,79.7059,82.3529,78.2773,82.6050,81.1765,80.8824,75.7479,81.1506,6.6853,82.3529,77.1429,85.2941,94.1176,64.7059
MobileNet+ResNet101_PCA_RBF,MobileNet+ResNet101,PCA,RBF,150528.0,77.9412,88.4033,94.1176,92.7731,94.1176,92.6471,91.1765,89.8740,89.7059,91.1765,89.7059,91.1765,89.7815,89.6134,5.6617,91.1765,85.7143,94.1176,100.0000,70.5882
MobileNet+ResNet101_PCA_LinearSVM,MobileNet+ResNet101,PCA,LinearSVM,150528.0,75.0000,85.2941,91.1765,88.4033,89.7059,89.7059,85.5042,84.0336,88.2353,86.7647,88.2353,91.3025,93.0000,86.3599,6.6045,88.2353,82.3529,91.1765,100.0000,67.6471
MobileNet+ResNet101_PCA_MLP,MobileNet+ResNet101,PCA,MLP,150528.0,82.3529,86.7647,83.8235,82.3529,86.7647,85.2941,85.2941,82.3529,78.2773,76.4706,67.6471,62.3109,54.8655,79.1204,9.6387,81.1765,73.5294,85.2941,100.0000,52.9412
MobileNet+ResNet101_PCA_Logistic,MobileNet+ResNet101,PCA,Logistic,150528.0,75.0000,86.7647,91.1765,91.1765,88.4033,88.2353,85.2941,85.2941,89.7059,86.9748,89.8740,94.1176,92.6975,86.8957,6.8444,88.2353,82.8571,91.1765,97.0588,67.6471
MobileNet+ResNet101_PCA_RandomForest,MobileNet+ResNet101,PCA,RandomForest,150528.0,72.4369,89.7059,88.4033,91.1765,91.1765,91.1765,88.4033,89.7059,85.5042,86.7647,83.8235,82.3529,90.3614,86.4657,6.9926,88.2353,82.3529,91.1765,97.1429,62.8571
MobileNet+ResNet101_PCA_Adaboost,MobileNet+ResNet101,PCA,Adaboost,150528.0,73.9076,88.2353,86.7647,88.4033,86.9748,86.7647,88.2353,89.8740,88.2353,88.2353,85.2941,84.2857,84.5462,85.8557,6.5596,86.9748,82.3529,91.1765,97.0588,64.7059
MobileNet+ResNet101_PCA_Gaussian,MobileNet+ResNet101,PCA,Gaussian,150528.0,79.4118,88.2353,85.2941,79.4118,72.5210,71.0084,71.0504,69.1176,70.5882,72.4790,73.5294,70.5882,71.3278,74.1478,8.7461,73.5294,67.6471,79.4118,97.0588,55.8824
MobileNet+ResNet101_UMAP_PCC,MobileNet+ResNet101,UMAP,PCC,150528.0,76.4706,76.4706,80.8824,75.7143,77.9412,76.4706,76.4706,78.2773,76.8067,76.4706,76.8067,76.4706,71.4034,76.7192,5.2866,76.4706,73.5294,80.0000,88.2353,64.7059
MobileNet+ResNet101_UMAP_J48,MobileNet+ResNet101,UMAP,J48,150528.0,68.1093,73.9076,72.4790,79.4118,72.0588,72.4790,73.9076,75.0000,75.0000,73.5294,69.1176,72.0588,75.7479,72.4195,7.0622,73.5294,68.3403,76.4706,85.2941,50.0000
MobileNet+ResNet101_UMAP_RBF,MobileNet+ResNet101,UMAP,RBF,150528.0,64.7059,67.6471,60.2942,64.7059,64.7059,55.8824,69.1176,54.4118,60.2941,58.8235,51.4706,50.0000,89.7815,59.2276,11.6864,61.7647,52.5631,67.6471,79.4118,34.2857
MobileNet+ResNet101_UMAP_LinearSVM,MobileNet+ResNet101,UMAP,LinearSVM,150528.0,59.4117,75.3782,75.3782,73.5294,76.4706,73.5294,72.4790,73.5294,73.5294,75.0000,73.5294,72.4790,93.0000,73.1471,6.7668,73.5294,68.5714,76.4706,85.2941,48.5714
MobileNet+ResNet101_UMAP_MLP,MobileNet+ResNet101,UMAP,MLP,150528.0,61.7647,76.4706,78.2773,76.8067,76.4706,68.1093,69.5798,65.2101,50.0000,55.8824,54.4118,52.9412,54.8655,65.2479,12.9112,65.7143,55.8824,76.4706,91.1765,34.2857
MobileNet+ResNet101_UMAP_Logistic,MobileNet+ResNet101,UMAP,Logistic,150528.0,58.8235,76.8067,79.7059,75.3782,76.8067,79.7059,75.7143,77.9412,79.4118,77.9412,75.3782,75.3782,92.6975,76.2003,7.6689,76.4706,73.5294,80.0000,94.1176,42.8571
MobileNet+ResNet101_UMAP_RandomForest,MobileNet+ResNet101,UMAP,RandomForest,150528.0,72.0588,82.3529,79.4118,79.4118,76.8067,80.8824,82.3529,82.3529,79.7059,82.3529,82.3529,80.8824,90.3614,80.1148,5.9922,80.0000,76.4706,82.8571,91.4286,58.8235
MobileNet+ResNet101_UMAP_Adaboost,MobileNet+ResNet101,UMAP,Adaboost,150528.0,70.5882,75.0000,79.4118,76.8067,79.4118,76.4706,76.4706,79.4118,77.9412,82.3529,77.9412,81.1765,84.5462,77.2479,6.4872,77.1429,73.0042,82.3529,91.1765,58.8235
MobileNet+ResNet101_UMAP_Gaussian,MobileNet+ResNet101,UMAP,Gaussian,150528.0,75.0000,75.3782,76.4706,77.9412,76.8487,76.8067,76.8067,75.3362,79.4118,76.4706,77.9412,75.0000,71.3278,76.4097,6.4119,76.4706,70.5882,82.3529,91.4286,64.7059
MobileNet+ResNet101_ReliefF_PCC,MobileNet+ResNet101,ReliefF,PCC,150528.0,76.4706,76.4706,85.2941,85.2941,82.3529,83.8235,85.2941,84.0756,79.4118,77.9412,79.4118,79.7059,71.4034,81.1982,5.8682,82.3529,76.4706,85.2941,94.1176,62.8571
MobileNet+ResNet101_ReliefF_J48,MobileNet+ResNet101,ReliefF,J48,150528.0,76.4706,75.0000,75.0000,79.4118,84.0756,83.8235,82.3529,80.8824,80.8824,77.9412,76.8067,79.7059,75.7479,78.8781,6.2257,79.4118,73.5294,83.4664,94.1176,60.0000
MobileNet+ResNet101_ReliefF_RBF,MobileNet+ResNet101,ReliefF,RBF,150528.0,76.4706,82.3529,85.2941,86.9748,86.9748,86.9748,88.2353,91.1765,89.7059,89.8740,89.8740,89.8740,89.7815,86.7731,5.7962,88.2353,82.8571,91.1765,97.0588,71.4286
MobileNet+ResNet101_ReliefF_LinearSVM,MobileNet+ResNet101,ReliefF,LinearSVM,150528.0,75.0000,79.4118,84.2857,86.9748,86.7647,88.2353,89.7059,89.7059,88.2353,86.9748,89.7059,86.7647,93.0000,85.7745,6.5936,85.7143,82.3529,91.1765,97.0588,65.7143
MobileNet+ResNet101_ReliefF_MLP,MobileNet+ResNet101,ReliefF,MLP,150528.0,79.4118,76.4706,85.2941,84.0336,88.2353,88.2353,88.2353,86.7647,86.9748,83.8235,85.2941,85.2941,54.8655,83.8032,6.8800,85.2941,79.4118,88.2353,97.0588,68.5714
MobileNet+ResNet101_ReliefF_Logistic,MobileNet+ResNet101,ReliefF,Logistic,150528.0,75.0000,79.4118,85.5042,82.6050,85.2941,85.5042,89.7059,88.4033,91.1765,89.7059,91.1765,88.2353,92.6975,85.1653,6.7291,85.2941,80.0000,91.1765,97.0588,65.7143
MobileNet+ResNet101_ReliefF_RandomForest,MobileNet+ResNet101,ReliefF,RandomForest,150528.0,77.9412,79.4118,84.0756,85.2941,88.2353,86.7647,89.7059,88.2353,86.9748,86.9748,91.1765,88.2353,90.3614,86.1211,6.0888,85.2941,82.3529,91.1765,97.0588,65.7143
MobileNet+ResNet101_ReliefF_Adaboost,MobileNet+ResNet101,ReliefF,Adaboost,150528.0,77.9412,79.4118,84.0756,82.3529,86.7647,84.0756,85.2941,88.2353,85.2941,88.2353,84.0756,88.4033,84.5462,83.9195,6.5321,85.2941,79.4118,88.2353,100.0000,62.8571
MobileNet+ResNet101_ReliefF_Gaussian,MobileNet+ResNet101,ReliefF,Gaussian,150528.0,75.0000,79.4118,82.6050,85.2941,86.9748,86.9748,86.7647,88.2353,88.2353,85.2941,84.0756,82.6050,71.3278,84.2507,5.8192,85.2941,80.0000,88.3193,94.1176,65.7143
ResNet101+DenseNet169_PCA_PCC,ResNet101+DenseNet169,PCA,PCC,181888.0,79.7059,86.7647,85.2941,85.5042,86.7647,85.5042,85.2941,82.3529,83.8235,77.9412,76.4706,72.0588,73.7143,81.6765,7.5421,82.3529,76.4706,85.7143,97.0588,54.2857
ResNet101+DenseNet169_PCA_J48,ResNet101+DenseNet169,PCA,J48,181888.0,72.4790,79.7059,75.0000,79.4118,76.8067,78.2773,77.9412,73.5294,71.0084,76.4706,79.4118,72.0588,74.2941,75.5623,6.5423,76.4706,70.5882,79.4118,88.5714,58.8235
ResNet101+DenseNet169_PCA_RBF,ResNet101+DenseNet169,PCA,RBF,181888.0,78.2773,89.7059,94.1176,94.1176,91.4286,94.1176,91.1765,89.8740,91.1765,91.1765,88.2353,88.2353,89.1933,89.6779,5.4352,91.1765,85.7143,94.1176,97.1429,70.5882
ResNet101+DenseNet169_PCA_LinearSVM,ResNet101+DenseNet169,PCA,LinearSVM,181888.0,79.4118,85.2941,91.1765,89.8740,86.7647,85.5462,82.3529,85.2941,88.2353,86.9748,88.2353,89.7059,92.1260,85.6527,6.0570,85.2941,82.3529,91.1765,97.0588,68.5714
ResNet101+DenseNet169_PCA_MLP,ResNet101+DenseNet169,PCA,MLP,181888.0,77.9412,83.8235,82.6050,83.8235,83.8235,82.3529,85.5042,79.4118,77.9412,72.0588,63.2353,64.7059,88.6134,78.2857,9.7093,79.4118,73.5294,85.2941,97.0588,52.9412
ResNet101+DenseNet169_PCA_Logistic,ResNet101+DenseNet169,PCA,Logistic,181888.0,77.9412,85.2941,91.1765,88.2353,88.2353,89.7059,82.3529,86.7647,88.2353,88.2353,88.4033,92.6471,92.1260,86.0203,6.3424,88.2353,82.3529,91.1765,97.0588,65.7143
ResNet101+DenseNet169_PCA_RandomForest,ResNet101+DenseNet169,PCA,RandomForest,181888.0,76.4706,89.7059,88.2353,89.7059,91.1765,89.7059,86.9748,85.5042,85.5042,79.4118,79.4118,78.2773,90.0672,84.8964,6.1833,85.2941,79.4118,88.5714,94.2857,68.5714
