method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,67.6471,81.1765,85.5462,85.2941,83.8235,84.0756,82.6050,77.9412,76.8067,73.5294,76.8067,73.5294,75.7395,78.7605,8.0341,79.4118,73.5294,85.2941,97.0588,50.0000
Xception_PCA_J48,Xception,PCA,J48,204800.0,55.8824,79.4118,80.8824,77.9412,75.0000,73.5294,70.5882,72.0588,71.0084,69.5798,66.1765,58.8235,67.8067,71.1288,8.6021,71.4286,67.1639,76.4706,85.2941,47.0588
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,68.1093,83.8235,86.7647,88.2353,88.2353,86.9327,88.2353,88.2353,89.7059,89.7059,88.2353,85.5042,85.9832,85.7360,7.9209,88.2353,82.3529,91.1765,97.1429,52.9412
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,65.2101,82.3529,82.3529,85.2941,85.5042,82.3529,83.8235,79.7059,83.8235,84.0756,85.2941,85.7143,89.4958,82.5973,7.6848,82.8571,79.4118,88.2353,97.0588,55.8824
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,62.8571,82.6050,83.8235,83.8235,82.6050,85.2941,82.3529,80.8824,79.4118,72.5210,72.0588,61.7647,88.8739,78.1148,10.9044,80.0000,71.4286,85.2941,94.1176,42.8571
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,63.2353,84.0756,83.8235,86.9748,85.5042,85.2941,79.7059,79.4118,85.2941,85.2941,86.7647,88.2353,88.9160,82.8683,8.2657,85.2941,79.4118,88.2353,94.1176,52.9412
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,63.7815,82.6050,86.7647,84.0756,85.2941,82.6050,85.2941,82.3529,79.4118,79.4118,76.4706,73.5294,85.9916,80.3704,8.6399,82.3529,76.4706,85.7143,94.1176,50.0000
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,62.3109,82.3529,82.3529,78.2773,82.8571,82.3529,79.7059,85.5042,82.6050,79.4118,77.9412,75.3782,82.7731,78.7381,8.8637,79.4118,74.0966,85.2941,97.0588,44.1176
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,63.7815,76.8067,76.8067,75.0000,73.5294,71.0084,71.0504,68.5714,70.5882,72.0588,70.5882,70.5882,69.0336,71.1141,7.4723,70.5882,65.7143,76.4706,88.2353,54.2857
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,73.5294,76.4706,77.9412,76.4706,76.8067,79.4118,77.9412,79.7059,76.4706,79.4118,76.8067,77.9412,75.7395,78.1071,4.9126,76.4706,74.0966,82.3529,88.2353,64.7059
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,76.8487,73.5294,73.5294,76.4706,72.4790,76.8067,74.2857,73.5294,79.4118,76.8067,76.4706,76.4706,67.8067,75.2787,6.2251,75.3782,71.2185,79.4118,88.2353,52.9412
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,66.1765,70.5882,73.5294,69.1176,70.5882,67.6471,66.1765,67.6471,62.3529,66.1765,62.3109,64.7059,85.9832,65.2605,9.0633,67.6471,60.0000,70.5882,82.8571,40.0000
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,61.7647,70.5882,73.5294,70.5882,73.5294,67.6471,69.1176,67.6471,70.5882,70.5882,69.1176,69.5798,89.4958,68.9062,8.3780,70.5882,62.8571,73.5294,85.7143,50.0000
Xception_UMAP_MLP,Xception,UMAP,MLP,204800.0,70.5882,73.9076,75.0000,71.0084,70.5882,67.6471,59.3697,58.8235,57.3529,52.9412,54.4118,53.6135,88.8739,63.6961,11.7918,65.7143,55.4832,73.5294,85.7143,34.2857
Xception_UMAP_Logistic,Xception,UMAP,Logistic,204800.0,62.3109,70.5882,75.0000,73.9076,77.9412,73.9076,76.4706,76.4706,72.4790,72.0588,73.5294,75.3782,88.9160,72.3768,8.8248,73.5294,67.6471,79.4118,88.5714,50.0000
Xception_UMAP_RandomForest,Xception,UMAP,RandomForest,204800.0,76.8067,82.8571,79.4118,82.6050,79.7059,80.8824,82.3529,82.3529,79.7059,82.3529,82.3529,82.3529,85.9916,81.0462,4.3164,82.3529,79.4118,82.8571,94.1176,67.6471
Xception_UMAP_Adaboost,Xception,UMAP,Adaboost,204800.0,70.5882,77.9412,77.9412,75.3782,82.3529,80.8824,73.5294,79.4118,82.6050,82.3529,79.4118,79.7479,82.7731,77.7465,5.7574,79.4118,73.5294,82.3529,88.2353,61.7647
Xception_UMAP_Gaussian,Xception,UMAP,Gaussian,204800.0,67.6471,72.4790,75.3362,77.9412,79.4118,76.4706,73.9076,73.5294,79.4118,76.4706,76.4706,75.0000,69.0336,75.0210,5.9008,74.2857,70.5882,79.4118,88.2353,58.8235
Xception_ReliefF_PCC,Xception,ReliefF,PCC,204800.0,68.1093,82.3529,79.7059,78.2773,79.4118,81.1765,77.1429,81.1765,79.4118,78.2353,79.4118,76.8067,75.7395,77.7066,7.7008,79.4118,73.5294,82.3529,91.1765,58.8235
Xception_ReliefF_J48,Xception,ReliefF,J48,204800.0,61.7647,70.5882,69.5378,66.6386,73.9076,73.9076,73.9076,72.0588,71.0084,67.6471,73.9076,75.0000,67.8067,71.5938,7.0289,72.4790,66.9118,76.4706,85.7143,55.8824
Xception_ReliefF_RBF,Xception,ReliefF,RBF,204800.0,69.1176,76.4706,78.2353,82.6050,82.3529,82.6471,82.3529,81.1765,82.3529,82.3529,82.3529,82.3529,85.9832,81.0126,7.0021,82.3529,79.4118,85.2941,94.1176,58.8235
Xception_ReliefF_LinearSVM,Xception,ReliefF,LinearSVM,204800.0,63.7815,73.5294,76.4706,77.1429,79.7059,79.4118,82.3529,82.3529,82.3529,82.3529,82.3529,82.6050,89.4958,79.4566,8.0871,79.4118,76.4706,85.2941,94.1176,51.4286
Xception_ReliefF_MLP,Xception,ReliefF,MLP,204800.0,67.6471,75.3782,80.8824,79.4118,81.1765,81.1345,85.2941,79.7059,82.3529,82.3529,76.4706,75.3782,88.8739,78.7437,7.9098,79.4118,73.5294,85.2941,94.1176,58.8235
Xception_ReliefF_Logistic,Xception,ReliefF,Logistic,204800.0,67.6471,76.4706,79.4118,83.8235,83.8235,83.8235,82.6050,82.6050,79.4118,84.0756,80.0000,82.3529,88.9160,79.9629,7.8561,80.0000,76.4706,85.2941,94.1176,58.8235
Xception_ReliefF_RandomForest,Xception,ReliefF,RandomForest,204800.0,67.6471,76.4706,81.1345,82.3529,82.3529,85.2941,85.2941,84.0756,82.3529,81.1765,82.3529,81.1765,85.9916,80.4573,7.3572,82.3529,76.4706,85.2941,94.1176,55.8824
Xception_ReliefF_Adaboost,Xception,ReliefF,Adaboost,204800.0,67.1428,73.5294,82.3529,78.2353,80.8824,79.4118,79.7059,79.4118,82.3529,82.6050,82.6050,79.4118,82.7731,78.8697,6.9395,79.4118,76.4706,82.4789,94.1176,52.9412
Xception_ReliefF_Gaussian,Xception,ReliefF,Gaussian,204800.0,67.6471,76.8067,79.4118,82.6471,82.3529,82.3529,81.1765,78.2353,79.4118,77.9412,79.4118,79.4118,69.0336,78.5098,7.6693,79.4118,73.5294,82.8571,94.1176,60.0000
VGG16_PCA_PCC,VGG16,PCA,PCC,25088.0,69.1176,82.6050,82.3529,85.2941,82.3529,80.8824,83.8235,76.4706,68.1093,67.6471,64.7059,54.4118,63.4958,74.0735,10.4323,76.4706,67.6471,82.3529,91.1765,42.8571
VGG16_PCA_J48,VGG16,PCA,J48,25088.0,64.7059,73.5294,72.0588,72.0588,72.4369,71.0084,67.6471,72.3950,79.4118,72.0588,67.6471,66.1765,73.4538,70.5322,8.6505,70.5882,64.7059,76.4706,88.2353,44.1176
VGG16_PCA_RBF,VGG16,PCA,RBF,25088.0,75.0000,86.9748,85.5042,85.2941,86.7647,86.7647,88.2353,91.1765,84.0756,86.7647,85.2941,86.7647,85.7143,85.2437,6.7535,85.2941,80.0000,91.1765,97.0588,58.8235
VGG16_PCA_LinearSVM,VGG16,PCA,LinearSVM,25088.0,67.6471,86.7647,91.1765,86.7647,88.2353,83.8235,81.1765,81.1345,81.1765,85.5042,83.8235,86.7647,90.0672,82.7738,7.9545,82.6050,79.4118,88.2353,97.0588,60.0000
VGG16_PCA_MLP,VGG16,PCA,MLP,25088.0,70.5882,82.6050,84.0756,83.8235,82.6471,79.4118,85.2941,79.4118,70.5882,73.9076,69.1176,62.3109,88.9075,76.1001,9.9524,76.4706,70.5882,83.4664,94.2857,44.1176
VGG16_PCA_Logistic,VGG16,PCA,Logistic,25088.0,67.6471,86.7647,88.2353,86.9748,86.9748,88.2353,84.0756,81.1345,82.3529,86.7647,86.9748,86.9748,89.7815,83.4076,7.7134,85.2941,79.4118,88.3193,94.1176,55.8824
VGG16_PCA_RandomForest,VGG16,PCA,RandomForest,25088.0,62.3109,85.2941,85.2941,82.6050,82.3529,85.2941,83.8235,79.4118,78.2353,78.2353,73.5294,69.5798,86.8739,79.0602,9.4896,80.0000,73.5294,85.2941,94.1176,51.4286
VGG16_PCA_Adaboost,VGG16,PCA,Adaboost,25088.0,66.1765,79.7059,83.8235,82.3529,82.6050,82.6050,85.2941,79.4118,83.8235,82.3529,79.4118,75.0000,83.9580,79.4678,8.4672,79.4118,76.4706,85.2941,94.1176,47.0588
VGG16_PCA_Gaussian,VGG16,PCA,Gaussian,25088.0,63.7815,66.6807,63.2353,64.7059,62.3109,60.8824,63.7815,64.7059,67.6471,66.6386,66.6386,70.5882,71.0336,65.4321,8.4708,64.7059,58.8235,70.5882,88.2353,48.5714
VGG16_UMAP_PCC,VGG16,UMAP,PCC,25088.0,67.6471,75.0000,72.0588,70.5882,71.0504,71.0084,75.0000,69.1176,72.4790,72.4790,72.4790,73.9496,63.4958,71.9230,7.4297,71.0084,67.6471,76.4706,94.2857,57.1429
VGG16_UMAP_J48,VGG16,UMAP,J48,25088.0,61.7647,73.9076,66.1765,63.2353,66.6807,57.9412,69.1176,58.8235,63.2353,66.1765,62.3109,67.6471,73.4538,64.2010,8.0640,64.7059,58.8235,70.5882,82.8571,41.1765
VGG16_UMAP_RBF,VGG16,UMAP,RBF,25088.0,64.7059,50.0000,54.4118,64.7059,50.0000,50.0000,63.2353,54.4118,50.0000,50.0000,50.0000,50.0000,85.7143,52.8004,9.9471,52.9412,50.0000,58.8235,73.5294,34.2857
VGG16_UMAP_LinearSVM,VGG16,UMAP,LinearSVM,25088.0,61.7647,66.1765,64.7059,66.1765,67.6471,64.7059,67.6471,67.6471,64.7059,69.1176,66.1765,67.6471,90.0672,65.2514,6.4822,66.6807,61.7647,70.5882,79.4118,45.7143
