Metodo;FeatureExtraction;DimReduction;NumberComponents;Classifier;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10
ResNet101+DenseNet169_n_feat_ReliefF_250_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;250;Adaboost;0,9143;0,8;0,9118;0,8529;0,8529;0,8824;0,8529;0,8824;0,7941;0,7941
ResNet101+DenseNet169_n_feat_ReliefF_250_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;250;Gaussian;0,7714;0,8857;0,8529;0,8529;0,8824;0,8824;0,9118;0,8529;0,7353;0,8235
ResNet101+DenseNet121_n_feat_ReliefF_250_J48;ResNet101+DenseNet121_n_feat;ReliefF;250;J48;0,8;0,8;0,7941;0,7059;0,6765;0,7353;0,7941;0,7941;0,8529;0,7941
ResNet101+DenseNet121_n_feat_ReliefF_250_RBF;ResNet101+DenseNet121_n_feat;ReliefF;250;RBF;0,7714;0,8;0,8235;0,8529;0,8824;0,8824;0,9118;0,8235;0,8824;0,8824
ResNet101+DenseNet121_n_feat_ReliefF_250_LinearSVM;ResNet101+DenseNet121_n_feat;ReliefF;250;LinearSVM;0,8286;0,8;0,9412;0,8235;0,8529;0,8824;0,8824;0,8235;0,9118;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_250_MLP;ResNet101+DenseNet121_n_feat;ReliefF;250;MLP;0,7143;0,7429;0,8529;0,8235;0,7941;0,7941;0,9412;0,8529;0,8824;0,7353
ResNet101+DenseNet121_n_feat_ReliefF_250_Logistic;ResNet101+DenseNet121_n_feat;ReliefF;250;Logistic;0,8571;0,7714;0,8529;0,7941;0,8824;0,8824;0,8235;0,8235;0,8824;0,8235
ResNet101+DenseNet121_n_feat_ReliefF_250_RandomForest;ResNet101+DenseNet121_n_feat;ReliefF;250;RandomForest;0,8286;0,8;0,8235;0,9118;0,8529;0,9118;0,9412;0,9706;0,9412;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_250_Adaboost;ResNet101+DenseNet121_n_feat;ReliefF;250;Adaboost;0,8286;0,8286;0,8529;0,8529;0,7941;0,8235;0,8824;0,8824;0,8824;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_250_Gaussian;ResNet101+DenseNet121_n_feat;ReliefF;250;Gaussian;0,7714;0,8;0,7941;0,8824;0,7941;0,8824;0,9118;0,8235;0,7353;0,7647
ResNet101+MobileNetV2_n_feat_ReliefF_250_J48;ResNet101+MobileNetV2_n_feat;ReliefF;250;J48;0,7429;0,7714;0,8824;0,8235;0,7353;0,7647;0,7941;0,8824;0,7647;0,7647
ResNet101+MobileNetV2_n_feat_ReliefF_250_RBF;ResNet101+MobileNetV2_n_feat;ReliefF;250;RBF;0,8286;0,8;0,9118;0,8235;0,9118;0,9118;0,9118;0,9118;0,9118;0,8824
ResNet101+MobileNetV2_n_feat_ReliefF_250_LinearSVM;ResNet101+MobileNetV2_n_feat;ReliefF;250;LinearSVM;0,8857;0,7714;0,9118;0,8235;0,8824;0,9118;0,8824;0,8824;0,8824;0,8529
ResNet101+MobileNetV2_n_feat_ReliefF_250_MLP;ResNet101+MobileNetV2_n_feat;ReliefF;250;MLP;0,8571;0,8;0,9412;0,8235;0,8235;0,8235;0,8824;0,8235;0,9706;0,8235
ResNet101+MobileNetV2_n_feat_ReliefF_250_Logistic;ResNet101+MobileNetV2_n_feat;ReliefF;250;Logistic;1;0,7429;0,9118;0,8235;0,8824;0,9118;0,8529;0,8529;0,9118;0,8529
ResNet101+MobileNetV2_n_feat_ReliefF_250_RandomForest;ResNet101+MobileNetV2_n_feat;ReliefF;250;RandomForest;0,8571;0,8571;0,8529;0,9118;0,8529;0,8824;0,9412;0,9118;0,9118;0,9412
ResNet101+MobileNetV2_n_feat_ReliefF_250_Adaboost;ResNet101+MobileNetV2_n_feat;ReliefF;250;Adaboost;0,8;0,7143;0,9118;0,8529;0,9118;0,8235;0,8529;0,8529;0,9118;0,8235
ResNet101+MobileNetV2_n_feat_ReliefF_250_Gaussian;ResNet101+MobileNetV2_n_feat;ReliefF;250;Gaussian;0,7714;0,8571;0,9118;0,8824;0,8529;0,7647;0,8824;0,8235;0,7353;0,8529
EfficientNetB0+MobileNet_n_feat_ReliefF_250_J48;EfficientNetB0+MobileNet_n_feat;ReliefF;250;J48;0,8;0,6286;0,7941;0,7941;0,7647;0,6765;0,7647;0,7059;0,8529;0,8824
EfficientNetB0+MobileNet_n_feat_ReliefF_250_RBF;EfficientNetB0+MobileNet_n_feat;ReliefF;250;RBF;0,8286;0,9429;0,9412;0,9118;0,8824;0,9118;0,9118;0,8824;0,9118;0,9412
EfficientNetB0+MobileNet_n_feat_ReliefF_250_LinearSVM;EfficientNetB0+MobileNet_n_feat;ReliefF;250;LinearSVM;0,8571;0,9429;0,9118;0,9118;0,7941;0,8824;0,9118;0,8824;0,9706;0,9412
EfficientNetB0+MobileNet_n_feat_ReliefF_250_MLP;EfficientNetB0+MobileNet_n_feat;ReliefF;250;MLP;0,8286;0,9429;0,9118;0,8529;0,8235;0,8529;0,8235;0,9118;1;0,8824
EfficientNetB0+MobileNet_n_feat_ReliefF_250_Logistic;EfficientNetB0+MobileNet_n_feat;ReliefF;250;Logistic;0,8286;0,9429;0,9118;0,8824;0,8235;0,8824;0,8824;0,8824;0,9706;0,9706
EfficientNetB0+MobileNet_n_feat_ReliefF_250_RandomForest;EfficientNetB0+MobileNet_n_feat;ReliefF;250;RandomForest;0,8857;0,9143;0,9118;0,8235;0,8529;0,8529;0,8529;0,8824;0,9412;0,9412
EfficientNetB0+MobileNet_n_feat_ReliefF_250_Adaboost;EfficientNetB0+MobileNet_n_feat;ReliefF;250;Adaboost;0,8;0,8286;0,8235;0,8529;0,7647;0,8235;0,7941;0,9412;0,8824;0,8529
EfficientNetB0+MobileNet_n_feat_ReliefF_250_Gaussian;EfficientNetB0+MobileNet_n_feat;ReliefF;250;Gaussian;0,7143;0,9143;0,9412;0,8235;0,7941;0,7941;0,9118;0,9412;0,8824;0,9118
MobileNet+ResNet50_n_feat_ReliefF_250_J48;MobileNet+ResNet50_n_feat;ReliefF;250;J48;0,7429;0,7143;0,7941;0,9118;0,6176;0,7059;0,7941;0,8529;0,7941;0,7941
MobileNet+ResNet50_n_feat_ReliefF_250_RBF;MobileNet+ResNet50_n_feat;ReliefF;250;RBF;0,8286;0,9429;0,8824;0,8824;0,8529;0,9118;0,8824;1;0,9412;0,9706
MobileNet+ResNet50_n_feat_ReliefF_250_LinearSVM;MobileNet+ResNet50_n_feat;ReliefF;250;LinearSVM;0,8571;0,9143;0,9118;0,8529;0,7941;0,9412;0,8824;0,9706;0,8824;0,9412
MobileNet+ResNet50_n_feat_ReliefF_250_MLP;MobileNet+ResNet50_n_feat;ReliefF;250;MLP;0,8571;0,8571;0,8824;0,8529;0,7647;0,8529;0,8235;0,9706;0,9706;0,8824
MobileNet+ResNet50_n_feat_ReliefF_250_Logistic;MobileNet+ResNet50_n_feat;ReliefF;250;Logistic;0,8571;0,9143;0,9118;0,8529;0,7941;0,9706;0,8824;0,9706;0,8824;0,9412
MobileNet+ResNet50_n_feat_ReliefF_250_RandomForest;MobileNet+ResNet50_n_feat;ReliefF;250;RandomForest;0,9143;0,9143;0,9118;0,9118;0,8529;0,9118;0,8824;0,9412;0,9412;0,9706
MobileNet+ResNet50_n_feat_ReliefF_250_Adaboost;MobileNet+ResNet50_n_feat;ReliefF;250;Adaboost;0,8857;0,8857;0,9118;0,7941;0,7941;0,8824;0,8824;0,9412;0,9412;0,9118
MobileNet+ResNet50_n_feat_ReliefF_250_Gaussian;MobileNet+ResNet50_n_feat;ReliefF;250;Gaussian;0,8857;0,8857;0,9412;0,8529;0,7941;0,8235;0,8235;0,8824;0,9412;0,8824
Xception+ResNet50_n_feat_ReliefF_250_J48;Xception+ResNet50_n_feat;ReliefF;250;J48;0,7429;0,8286;0,8529;0,7059;0,7353;0,8529;0,7941;0,9412;0,7941;0,8824
Xception+ResNet50_n_feat_ReliefF_250_RBF;Xception+ResNet50_n_feat;ReliefF;250;RBF;0,8;0,8571;0,8824;0,8235;0,8529;0,8824;0,8529;0,9706;0,8529;0,8824
Xception+ResNet50_n_feat_ReliefF_250_LinearSVM;Xception+ResNet50_n_feat;ReliefF;250;LinearSVM;0,8571;0,8286;0,9118;0,9118;0,9412;0,8824;0,9412;1;0,9118;0,9412
Xception+ResNet50_n_feat_ReliefF_250_MLP;Xception+ResNet50_n_feat;ReliefF;250;MLP;0,8286;0,8286;0,9118;0,7647;0,8824;0,8824;0,7647;0,9412;0,9118;0,8824
Xception+ResNet50_n_feat_ReliefF_250_Logistic;Xception+ResNet50_n_feat;ReliefF;250;Logistic;0,8571;0,8;0,9118;0,9118;0,8824;0,7941;0,8824;0,9412;0,8529;0,8824
Xception+ResNet50_n_feat_ReliefF_250_RandomForest;Xception+ResNet50_n_feat;ReliefF;250;RandomForest;0,8857;0,8857;0,8824;0,8529;0,9412;0,9412;0,8824;0,9412;0,9412;0,9412
Xception+ResNet50_n_feat_ReliefF_250_Adaboost;Xception+ResNet50_n_feat;ReliefF;250;Adaboost;0,9429;0,8571;0,7941;0,7647;0,8529;0,8824;0,8235;0,9706;0,8235;0,9118
Xception+ResNet50_n_feat_ReliefF_250_Gaussian;Xception+ResNet50_n_feat;ReliefF;250;Gaussian;0,9143;0,8571;0,8824;0,7647;0,7941;0,8529;0,7941;0,8529;0,8235;0,8529
VGG16+VGG19_n_feat_ReliefF_250_J48;VGG16+VGG19_n_feat;ReliefF;250;J48;0,8286;0,6571;0,6765;0,8235;0,7353;0,6471;0,7353;0,7647;0,8529;0,7059
VGG16+VGG19_n_feat_ReliefF_250_RBF;VGG16+VGG19_n_feat;ReliefF;250;RBF;0,8;0,8857;0,8529;0,7647;0,8235;0,9118;0,9118;0,9118;0,9412;0,8824
VGG16+VGG19_n_feat_ReliefF_250_LinearSVM;VGG16+VGG19_n_feat;ReliefF;250;LinearSVM;0,7429;0,7714;0,8824;0,8235;0,7941;0,8824;0,8235;0,8529;0,8824;0,8529
