metodo;ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;ACC
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;5;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;5;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;6;150528;No;300;0,676471
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;6;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;6;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;6;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;6;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;6;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;6;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;6;150528;No;300;0,823529
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;7;150528;No;300;0,794118
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;7;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;7;150528;No;300;0,970588
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;7;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;7;150528;No;300;0,970588
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;7;150528;No;300;0,970588
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;7;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;7;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;8;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;8;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;8;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;8;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;8;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;8;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;8;150528;No;300;0,970588
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;8;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;9;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;9;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;9;150528;No;300;0,970588
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;9;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;9;150528;No;300;0,970588
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;9;150528;No;300;0,941176
