FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_Accuracy,KFold02_Accuracy,KFold03_Accuracy,KFold04_Accuracy,KFold05_Accuracy,KFold06_Accuracy,KFold07_Accuracy,KFold08_Accuracy,KFold09_Accuracy,KFold10_Accuracy,Accuracy_Mean,Accuracy_SD
MobileNet+ResNet101_n_feat,ReliefF,No,300,PCC,0.7429,0.6571,0.7941,0.8529,0.8529,0.7941,0.8235,0.8235,0.7941,0.7941,0.7929,0.0548
MobileNet+ResNet101_n_feat,ReliefF,No,300,J48,0.7143,0.6857,0.7059,0.7353,0.7941,0.6765,0.7941,0.8529,0.8529,0.7353,0.7547,0.0617
MobileNet+ResNet101_n_feat,ReliefF,No,300,RBF,0.8857,0.8857,0.9118,0.8529,0.8529,0.9118,0.9412,0.8824,0.9412,0.9412,0.9007,0.0324
MobileNet+ResNet101_n_feat,ReliefF,No,300,LinearSVM,0.8857,0.8857,0.9118,0.8824,0.8235,0.9412,0.9706,0.9118,0.9706,0.7941,0.8977,0.0545
MobileNet+ResNet101_n_feat,ReliefF,No,300,MLP,0.8000,0.8857,0.8824,0.7941,0.7353,0.8824,0.8529,0.8824,0.9412,0.9412,0.8597,0.0624
MobileNet+ResNet101_n_feat,ReliefF,No,300,Logistic,0.9429,0.8857,0.9118,0.8824,0.8235,0.9118,0.9706,0.9412,0.9706,0.8529,0.9093,0.0463
MobileNet+ResNet101_n_feat,ReliefF,No,300,RandomForest,0.8286,0.8286,0.8824,0.8824,0.8235,0.9118,0.9706,0.9412,0.9412,0.9118,0.8922,0.0497
MobileNet+ResNet101_n_feat,ReliefF,No,300,Adaboost,0.8857,0.8571,0.8824,0.9118,0.8529,0.9412,0.9412,0.9706,0.8529,0.8529,0.8949,0.0415
MobileNet+ResNet101_n_feat,ReliefF,No,300,Gaussian,0.8571,0.8571,0.8824,0.8529,0.8529,0.8235,0.8824,0.8529,0.7353,0.8824,0.8479,0.0413
ResNet101+DenseNet169_n_feat,ReliefF,No,300,PCC,0.8571,0.6857,0.7353,0.8529,0.8824,0.8235,0.8529,0.7941,0.8235,0.8235,0.8131,0.0573
ResNet101+DenseNet169_n_feat,ReliefF,No,300,J48,0.6571,0.7714,0.7059,0.8235,0.8529,0.7353,0.7647,0.9412,0.7941,0.7353,0.7782,0.0763
ResNet101+DenseNet169_n_feat,ReliefF,No,300,RBF,0.8000,0.8000,0.8529,0.8235,0.8824,0.9118,0.8824,0.9412,0.9706,0.8235,0.8688,0.0562
ResNet101+DenseNet169_n_feat,ReliefF,No,300,LinearSVM,0.8857,0.8286,0.8529,0.7941,0.8529,0.8824,0.9118,0.9118,0.9412,0.8235,0.8685,0.0438
ResNet101+DenseNet169_n_feat,ReliefF,No,300,MLP,0.7429,0.6857,0.9118,0.8824,0.8529,0.7647,0.8824,0.9118,0.8824,0.8235,0.8340,0.0739
ResNet101+DenseNet169_n_feat,ReliefF,No,300,Logistic,0.8286,0.7429,0.9118,0.8235,0.8529,0.8529,0.9118,0.8529,0.9706,0.8235,0.8571,0.0592
ResNet101+DenseNet169_n_feat,ReliefF,No,300,RandomForest,0.8571,0.8286,0.8529,0.8824,0.8529,0.9412,0.9118,0.9412,0.9412,0.8235,0.8833,0.0447
ResNet101+DenseNet169_n_feat,ReliefF,No,300,Adaboost,0.8857,0.7429,0.8235,0.8235,0.7353,0.8824,0.9706,0.8235,0.9118,0.7647,0.8364,0.0727
