FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,J48,0.7059,0.5926,0.8750,0.8444,0.8235,0.8333,0.7222,0.8718,0.9130,0.8205,0.8002,0.0925
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,RBF,0.8125,0.7586,0.9091,0.8837,0.8824,0.9143,0.9143,0.9143,0.9524,0.9231,0.8865,0.0551
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,LinearSVM,0.9375,0.7333,0.8750,0.8636,0.8750,0.9143,0.8485,0.8947,0.9333,0.8649,0.8740,0.0550
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,MLP,0.7778,0.7857,0.8824,0.8696,0.8571,0.8571,0.8824,0.8649,0.9545,0.8947,0.8626,0.0485
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,Logistic,0.9375,0.7097,0.8750,0.8636,0.8750,0.9091,0.9091,0.8947,0.9333,0.8649,0.8772,0.0613
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,RandomForest,0.8000,0.8148,0.9091,0.9302,0.9143,0.8889,0.9444,0.9143,0.9767,0.9189,0.9012,0.0520
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,Adaboost,0.7143,0.7143,0.8485,0.8636,0.9412,0.8235,0.8108,0.8571,0.9000,0.9189,0.8392,0.0733
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,Gaussian,0.6923,0.8000,0.8667,0.9000,0.8276,0.6897,0.8750,0.8000,0.7059,0.8485,0.8006,0.0747
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,PCC,0.5714,0.6154,0.6667,0.7500,0.6061,0.6286,0.7429,0.6486,0.7000,0.5882,0.6518,0.0591
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,J48,0.8000,0.7143,0.8235,0.8293,0.7429,0.6667,0.8000,0.7222,0.9048,0.8649,0.7868,0.0702
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,RBF,0.8235,0.9231,0.9375,0.9302,0.8571,0.9143,0.8333,0.8947,0.9048,0.9730,0.8992,0.0453
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,LinearSVM,0.8276,0.9231,0.8824,0.9302,0.8235,0.9143,0.8889,0.9189,0.9778,0.9444,0.9031,0.0463
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,MLP,0.8485,0.8800,0.8824,0.9048,0.7879,0.8824,0.8571,0.9143,0.9545,0.9143,0.8826,0.0430
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,Logistic,0.8000,0.9231,0.9091,0.9302,0.8571,0.9143,0.9189,0.9189,0.9778,0.9730,0.9122,0.0492
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,RandomForest,0.8387,0.9231,0.9375,0.8780,0.8571,0.8125,0.8649,0.9189,0.9268,0.9730,0.8931,0.0478
