FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,Logistic,0.9500,0.7844,0.8824,0.7964,0.8824,0.9167,0.9118,0.8785,0.8939,0.8544,0.8751,0.0490
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,RandomForest,0.8250,0.8714,0.9118,0.8929,0.9118,0.8819,0.9412,0.9132,0.9773,0.9140,0.9040,0.0387
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,Adaboost,0.7583,0.7862,0.8529,0.7964,0.9412,0.8264,0.7941,0.8542,0.9091,0.9140,0.8433,0.0587
ResNet101+MobileNetV2_n_feat,ReliefF,No,300,Gaussian,0.7500,0.8514,0.8824,0.8786,0.8529,0.7465,0.8824,0.8333,0.7727,0.8684,0.8319,0.0519
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,PCC,0.6417,0.7029,0.6765,0.6964,0.6176,0.6181,0.7353,0.6146,0.6515,0.5965,0.6551,0.0435
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,J48,0.8250,0.7862,0.8235,0.7821,0.7353,0.7153,0.7647,0.7049,0.8902,0.8544,0.7882,0.0575
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,RBF,0.8417,0.9565,0.9412,0.8929,0.8529,0.9132,0.8235,0.8785,0.8902,0.9737,0.8964,0.0474
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,LinearSVM,0.8500,0.9565,0.8824,0.8929,0.8235,0.9132,0.8824,0.9097,0.9583,0.9474,0.9016,0.0426
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,MLP,0.8667,0.9149,0.8824,0.8679,0.7941,0.8854,0.8529,0.9132,0.9356,0.9211,0.8834,0.0393
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,Logistic,0.8250,0.9565,0.9118,0.8929,0.8529,0.9132,0.9118,0.9097,0.9583,0.9737,0.9106,0.0440
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,RandomForest,0.8583,0.9565,0.9412,0.8429,0.8529,0.8299,0.8529,0.9097,0.9318,0.9737,0.8950,0.0505
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,Adaboost,0.7750,0.9348,0.8529,0.8679,0.7647,0.8576,0.8529,0.9097,0.9129,0.9140,0.8643,0.0548
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,Gaussian,0.7333,0.8931,0.9118,0.7929,0.7941,0.8021,0.8824,0.9410,0.9091,0.9211,0.8581,0.0672
MobileNet+ResNet50_n_feat,ReliefF,No,300,PCC,0.6750,0.8496,0.6176,0.7321,0.8235,0.7986,0.8235,0.8472,0.6742,0.7684,0.7610,0.0780
MobileNet+ResNet50_n_feat,ReliefF,No,300,J48,0.8500,0.7844,0.8235,0.8679,0.6471,0.7639,0.8529,0.7847,0.8674,0.7684,0.8010,0.0642
MobileNet+ResNet50_n_feat,ReliefF,No,300,RBF,0.8333,0.9565,0.8824,0.8679,0.8529,0.9444,0.8824,1.0000,0.9545,1.0000,0.9174,0.0578
MobileNet+ResNet50_n_feat,ReliefF,No,300,LinearSVM,0.9500,0.9565,0.8529,0.8929,0.8235,1.0000,0.8235,0.9722,0.9356,0.9211,0.9128,0.0591
MobileNet+ResNet50_n_feat,ReliefF,No,300,MLP,0.8917,0.9130,0.9412,0.7357,0.7941,0.9097,0.8235,0.9375,0.9356,0.9070,0.8789,0.0666
MobileNet+ResNet50_n_feat,ReliefF,No,300,Logistic,0.9250,0.9565,0.8824,0.8929,0.7941,1.0000,0.8529,0.9722,0.9356,0.9474,0.9159,0.0581
MobileNet+ResNet50_n_feat,ReliefF,No,300,RandomForest,0.8750,0.9348,0.8529,0.8929,0.8529,0.8854,0.9118,0.9410,0.9773,1.0000,0.9124,0.0477
MobileNet+ResNet50_n_feat,ReliefF,No,300,Adaboost,0.9167,0.9348,0.8824,0.8571,0.8235,0.9444,0.8529,0.9410,0.9545,0.8877,0.8995,0.0430
MobileNet+ResNet50_n_feat,ReliefF,No,300,Gaussian,0.8750,0.8732,0.9412,0.8429,0.8235,0.8611,0.8235,0.8889,0.9318,0.8877,0.8749,0.0381
Xception+ResNet50_n_feat,ReliefF,No,300,PCC,0.7667,0.7663,0.7353,0.7321,0.7941,0.8021,0.8235,0.8785,0.8258,0.8018,0.7926,0.0423
Xception+ResNet50_n_feat,ReliefF,No,300,J48,0.8833,0.8496,0.7941,0.7714,0.7647,0.7118,0.8235,0.9132,0.8068,0.8211,0.8140,0.0558
Xception+ResNet50_n_feat,ReliefF,No,300,RBF,0.8667,0.8913,0.8824,0.8429,0.8824,0.8854,0.8529,0.9722,0.8712,0.9000,0.8847,0.0335
Xception+ResNet50_n_feat,ReliefF,No,300,LinearSVM,0.8583,0.9130,0.9118,0.7964,0.9412,0.8854,0.9118,0.9722,0.8523,0.9404,0.8983,0.0489
Xception+ResNet50_n_feat,ReliefF,No,300,MLP,0.8750,0.8913,0.9118,0.7250,0.7647,0.8854,0.8235,0.9410,0.7879,0.9070,0.8513,0.0681
Xception+ResNet50_n_feat,ReliefF,No,300,Logistic,0.9167,0.8913,0.9118,0.7464,0.9118,0.8576,0.8529,0.9410,0.8712,0.9140,0.8815,0.0524
Xception+ResNet50_n_feat,ReliefF,No,300,RandomForest,0.9083,0.9348,0.8529,0.8429,0.9412,0.9410,0.8824,0.9410,0.9129,0.9070,0.9064,0.0345
Xception+ResNet50_n_feat,ReliefF,No,300,Adaboost,0.9417,0.8913,0.8529,0.7964,0.9412,0.9132,0.8824,0.9410,0.9545,0.8737,0.8988,0.0472
Xception+ResNet50_n_feat,ReliefF,No,300,Gaussian,0.8750,0.8714,0.8824,0.7571,0.7941,0.8889,0.7647,0.8889,0.8864,0.8281,0.8437,0.0506
VGG16+VGG19_n_feat,ReliefF,No,300,PCC,0.5833,0.5978,0.6176,0.5714,0.7353,0.5938,0.6471,0.7361,0.7159,0.8140,0.6612,0.0789
VGG16+VGG19_n_feat,ReliefF,No,300,J48,0.7750,0.7228,0.7059,0.7821,0.7059,0.6562,0.7059,0.7014,0.8485,0.7018,0.7305,0.0526
VGG16+VGG19_n_feat,ReliefF,No,300,RBF,0.8083,0.9348,0.8529,0.7821,0.8529,0.9132,0.9412,0.9410,0.9545,0.8737,0.8855,0.0575
VGG16+VGG19_n_feat,ReliefF,No,300,LinearSVM,0.7583,0.7663,0.7941,0.8071,0.8529,0.8542,0.8235,0.9410,0.9545,0.9404,0.8492,0.0696
VGG16+VGG19_n_feat,ReliefF,No,300,MLP,0.7500,0.8478,0.7353,0.6821,0.6765,0.8264,0.7941,0.8229,0.8485,0.8333,0.7817,0.0628
VGG16+VGG19_n_feat,ReliefF,No,300,Logistic,0.7833,0.8297,0.8235,0.8321,0.8529,0.8542,0.8235,0.9410,0.9545,0.9404,0.8635,0.0567
VGG16+VGG19_n_feat,ReliefF,No,300,RandomForest,0.8417,0.9130,0.7941,0.7714,0.7647,0.8542,0.8529,0.9062,0.9773,0.8807,0.8556,0.0637
VGG16+VGG19_n_feat,ReliefF,No,300,Adaboost,0.8083,0.7210,0.8824,0.7714,0.7941,0.8264,0.7647,0.7882,0.9318,0.8140,0.8102,0.0571
VGG16+VGG19_n_feat,ReliefF,No,300,Gaussian,0.7250,0.8098,0.8529,0.6036,0.7647,0.9132,0.8235,0.8333,0.9545,0.8351,0.8116,0.0931
MobileNet+ResNet101_n_feat,ReliefF,No,250,PCC,0.7583,0.7210,0.7941,0.8286,0.7941,0.8229,0.8235,0.9062,0.8295,0.7947,0.8073,0.0465
MobileNet+ResNet101_n_feat,ReliefF,No,250,J48,0.7667,0.6993,0.7353,0.7571,0.8235,0.6701,0.7941,0.8542,0.8295,0.8474,0.7777,0.0599
MobileNet+ResNet101_n_feat,ReliefF,No,250,RBF,0.8333,0.8931,0.8824,0.8679,0.8529,0.9444,0.9412,0.8819,0.9356,0.9737,0.9006,0.0433
MobileNet+ResNet101_n_feat,ReliefF,No,250,LinearSVM,0.8667,0.8931,0.9118,0.8571,0.8235,0.8854,0.9118,0.9410,0.9773,0.8544,0.8922,0.0430
MobileNet+ResNet101_n_feat,ReliefF,No,250,MLP,0.8083,0.8913,0.8529,0.8429,0.8235,0.9132,0.8824,0.8472,0.9356,0.8737,0.8671,0.0377
MobileNet+ResNet101_n_feat,ReliefF,No,250,Logistic,0.8917,0.8931,0.9118,0.8929,0.8235,0.9167,0.9118,0.9410,0.9773,0.8544,0.9014,0.0403
MobileNet+ResNet101_n_feat,ReliefF,No,250,RandomForest,0.8583,0.8496,0.8529,0.8679,0.8529,0.9132,0.9412,0.9722,0.9356,0.9140,0.8958,0.0426
MobileNet+ResNet101_n_feat,ReliefF,No,250,Adaboost,0.8333,0.8931,0.7941,0.8929,0.8235,0.8299,0.9118,0.9444,0.8674,0.8281,0.8619,0.0451
MobileNet+ResNet101_n_feat,ReliefF,No,250,Gaussian,0.8167,0.8514,0.9118,0.8536,0.8529,0.8299,0.9118,0.8611,0.8182,0.8877,0.8595,0.0329
ResNet101+DenseNet169_n_feat,ReliefF,No,250,PCC,0.7333,0.7844,0.7353,0.8536,0.9412,0.9097,0.8824,0.8785,0.8295,0.8544,0.8402,0.0666
ResNet101+DenseNet169_n_feat,ReliefF,No,250,J48,0.6833,0.6993,0.7941,0.7464,0.7647,0.8264,0.7941,0.8542,0.8674,0.7351,0.7765,0.0590
ResNet101+DenseNet169_n_feat,ReliefF,No,250,RBF,0.7750,0.8279,0.8235,0.8179,0.8824,0.9132,0.8824,0.9444,0.9773,0.8544,0.8698,0.0593
ResNet101+DenseNet169_n_feat,ReliefF,No,250,LinearSVM,0.8167,0.8496,0.8824,0.8071,0.8235,0.8854,0.9118,0.8819,0.9545,0.8807,0.8694,0.0435
ResNet101+DenseNet169_n_feat,ReliefF,No,250,MLP,0.7333,0.7844,0.8824,0.8786,0.8235,0.8576,0.8824,0.9062,0.8712,0.7807,0.8400,0.0539
ResNet101+DenseNet169_n_feat,ReliefF,No,250,Logistic,0.7500,0.8297,0.9118,0.8179,0.8235,0.8229,0.8529,0.8542,0.9545,0.8807,0.8498,0.0535
ResNet101+DenseNet169_n_feat,ReliefF,No,250,RandomForest,0.8250,0.8279,0.8824,0.8929,0.8235,0.9132,0.9118,0.9410,0.9356,0.9140,0.8867,0.0433
ResNet101+DenseNet169_n_feat,ReliefF,No,250,Adaboost,0.9083,0.8080,0.9118,0.8321,0.8529,0.8819,0.8529,0.8889,0.8220,0.7877,0.8547,0.0404
ResNet101+DenseNet169_n_feat,ReliefF,No,250,Gaussian,0.7583,0.8931,0.8529,0.8536,0.8824,0.8854,0.9118,0.8611,0.7955,0.8281,0.8522,0.0446
ResNet101+DenseNet121_n_feat,ReliefF,No,250,PCC,0.7667,0.8062,0.7647,0.8536,0.8824,0.8542,0.8529,0.8819,0.7652,0.8544,0.8282,0.0455
