metodo;ExtractionMethod;Reduction;Classification;Fold;Components;ACC
ResNet101+DenseNet121_PCA_300_Logistic;ResNet101+DenseNet121;PCA;Logistic;8;300;0,970588
ResNet101+DenseNet121_PCA_300_Logistic;ResNet101+DenseNet121;PCA;Logistic;9;300;0,941176
ResNet101+DenseNet121_PCA_300_Logistic;ResNet101+DenseNet121;PCA;Logistic;10;300;0,941176
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;1;40;0,914286
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;2;40;0,914286
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;3;40;0,911765
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;4;40;0,882353
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;5;40;0,970588
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;6;40;0,970588
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;7;40;0,882353
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;8;40;0,941176
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;9;40;0,941176
ResNet101+DenseNet169_PCA_40_RBF;ResNet101+DenseNet169;PCA;RBF;10;40;0,911765
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;1;300;0,942857
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;2;300;0,885714
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;3;300;0,941176
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;4;300;0,852941
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;5;300;0,911765
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;6;300;0,941176
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;7;300;0,941176
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;8;300;0,970588
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;9;300;0,911765
ResNet101+MobileNetV2_PCA_300_Logistic;ResNet101+MobileNetV2;PCA;Logistic;10;300;0,911765
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;1;300;0,8
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;2;300;0,885714
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;3;300;0,882353
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;4;300;0,794118
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;5;300;0,852941
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;6;300;0,911765
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;7;300;0,941176
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;8;300;0,941176
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;9;300;0,941176
VGG16+VGG19_ReliefF_300_RBF;VGG16+VGG19;ReliefF;RBF;10;300;0,882353
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;1;300;0,942857
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;2;300;0,857143
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;3;300;0,911765
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;4;300;0,882353
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;5;300;0,941176
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;6;300;0,941176
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;7;300;0,882353
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;8;300;1
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;9;300;0,911765
Xception+ResNet50_PCA_300_Logistic;Xception+ResNet50;PCA;Logistic;10;300;0,970588
