ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;PCC;ACC;F1;ROC;ExtractionTime;ReductionTime;ClassfTrainning;ClassfPredict
Xception+ResNet50;PCA;J48;1;305152;No;300;0;68,5714;66,6667;69,1667;118,0442;7;0,0321;0,0002
Xception+ResNet50;PCA;J48;2;305152;No;300;0;60;56,25;63,587;118,0442;7;0,0292;0,0001
Xception+ResNet50;PCA;J48;3;305152;No;300;0;82,3529;84,2105;82,3529;118,0442;7;0,032;0,0001
Xception+ResNet50;PCA;J48;4;305152;No;300;0;64,7059;70;63,5714;118,0442;7;0,0283;0,0001
Xception+ResNet50;PCA;J48;5;305152;No;300;0;85,2941;85,7143;85,2941;118,0442;7;0,0271;0,0001
Xception+ResNet50;PCA;J48;6;305152;No;300;0;82,3529;82,3529;82,6389;118,0442;7;0,0296;0,0001
Xception+ResNet50;PCA;J48;7;305152;No;300;0;82,3529;84,2105;82,3529;118,0442;7;0,028;0,0001
Xception+ResNet50;PCA;J48;8;305152;No;300;0;79,4118;78,7879;79,8611;118,0442;7;0,0313;0,0002
Xception+ResNet50;PCA;J48;9;305152;No;300;0;73,5294;75,6757;77,6515;118,0442;7;0,03;0,0001
Xception+ResNet50;PCA;J48;10;305152;No;300;0;76,4706;80;75,4386;118,0442;7;0,0308;0,0002
Xception+ResNet50;PCA;RBF;1;305152;No;300;0;91,4286;89,6552;90,8333;118,0442;7;0,0097;0,0018
Xception+ResNet50;PCA;RBF;2;305152;No;300;0;94,2857;92,3077;95,6522;118,0442;7;0,0095;0,002
Xception+ResNet50;PCA;RBF;3;305152;No;300;0;88,2353;88,8889;88,2353;118,0442;7;0,0093;0,0018
Xception+ResNet50;PCA;RBF;4;305152;No;300;0;79,4118;83,7209;77,1429;118,0442;7;0,0092;0,002
Xception+ResNet50;PCA;RBF;5;305152;No;300;0;94,1176;94,1176;94,1176;118,0442;7;0,0094;0,0018
Xception+ResNet50;PCA;RBF;6;305152;No;300;0;94,1176;94,4444;94,0972;118,0442;7;0,01;0,0018
Xception+ResNet50;PCA;RBF;7;305152;No;300;0;85,2941;84,8485;85,2941;118,0442;7;0,0103;0,0019
Xception+ResNet50;PCA;RBF;8;305152;No;300;0;91,1765;91,8919;90,9722;118,0442;7;0,0095;0,0019
Xception+ResNet50;PCA;RBF;9;305152;No;300;0;91,1765;92,6829;93,1818;118,0442;7;0,0097;0,0022
Xception+ResNet50;PCA;RBF;10;305152;No;300;0;88,2353;89,4737;88,0702;118,0442;7;0,0093;0,0024
Xception+ResNet50;PCA;LinearSVM;1;305152;No;300;0;94,2857;93,75;95;118,0442;7;0,0077;0,0005
Xception+ResNet50;PCA;LinearSVM;2;305152;No;300;0;85,7143;82,7586;89,1304;118,0442;7;0,0085;0,0005
Xception+ResNet50;PCA;LinearSVM;3;305152;No;300;0;94,1176;94,1176;94,1176;118,0442;7;0,0079;0,0005
Xception+ResNet50;PCA;LinearSVM;4;305152;No;300;0;88,2353;90,4762;86,7857;118,0442;7;0,0081;0,0005
Xception+ResNet50;PCA;LinearSVM;5;305152;No;300;0;94,1176;94,1176;94,1176;118,0442;7;0,0077;0,0007
Xception+ResNet50;PCA;LinearSVM;6;305152;No;300;0;91,1765;90,9091;91,6667;118,0442;7;0,008;0,0005
Xception+ResNet50;PCA;LinearSVM;7;305152;No;300;0;85,2941;84,8485;85,2941;118,0442;7;0,0073;0,0005
Xception+ResNet50;PCA;LinearSVM;8;305152;No;300;0;100;100;100;118,0442;7;0,0075;0,0005
Xception+ResNet50;PCA;LinearSVM;9;305152;No;300;0;91,1765;93,0233;91,2879;118,0442;7;0,0055;0,0004
Xception+ResNet50;PCA;LinearSVM;10;305152;No;300;0;91,1765;91,4286;92,1053;118,0442;7;0,0072;0,0007
Xception+ResNet50;PCA;MLP;1;305152;No;300;0;60;61,1111;61,6667;118,0442;7;0,0626;0,0003
Xception+ResNet50;PCA;MLP;2;305152;No;300;0;54,2857;55,5556;61,2319;118,0442;7;0,0554;0,0002
Xception+ResNet50;PCA;MLP;3;305152;No;300;0;58,8235;66,6667;58,8235;118,0442;7;0,0537;0,0002
Xception+ResNet50;PCA;MLP;4;305152;No;300;0;61,7647;69,7674;58,9286;118,0442;7;0,0556;0,0002
Xception+ResNet50;PCA;MLP;5;305152;No;300;0;61,7647;66,6667;61,7647;118,0442;7;0,0643;0,0003
Xception+ResNet50;PCA;MLP;6;305152;No;300;0;64,7059;71,4286;63,5417;118,0442;7;0,0543;0,0002
Xception+ResNet50;PCA;MLP;7;305152;No;300;0;58,8235;68,1818;58,8235;118,0442;7;0,0517;0,0003
Xception+ResNet50;PCA;MLP;8;305152;No;300;0;73,5294;80;71,875;118,0442;7;0,052;0,0002
Xception+ResNet50;PCA;MLP;9;305152;No;300;0;64,7059;71,4286;63,2576;118,0442;7;0,0576;0,0002
Xception+ResNet50;PCA;MLP;10;305152;No;300;0;61,7647;66,6667;60,8772;118,0442;7;0,0512;0,0004
Xception+ResNet50;PCA;Logistic;1;305152;No;300;0;94,2857;93,75;95;118,0442;7;0,0333;0,0002
Xception+ResNet50;PCA;Logistic;2;305152;No;300;0;85,7143;82,7586;89,1304;118,0442;7;0,0354;0,0003
Xception+ResNet50;PCA;Logistic;3;305152;No;300;0;91,1765;91,4286;91,1765;118,0442;7;0,0391;0,0002
Xception+ResNet50;PCA;Logistic;4;305152;No;300;0;88,2353;90,4762;86,7857;118,0442;7;0,0347;0,0004
Xception+ResNet50;PCA;Logistic;5;305152;No;300;0;94,1176;94,4444;94,1176;118,0442;7;0,0443;0,0002
Xception+ResNet50;PCA;Logistic;6;305152;No;300;0;94,1176;94,1176;94,4444;118,0442;7;0,0341;0,0002
Xception+ResNet50;PCA;Logistic;7;305152;No;300;0;88,2353;88,2353;88,2353;118,0442;7;0,038;0,0002
Xception+ResNet50;PCA;Logistic;8;305152;No;300;0;100;100;100;118,0442;7;0,0384;0,0002
Xception+ResNet50;PCA;Logistic;9;305152;No;300;0;91,1765;93,0233;91,2879;118,0442;7;0,0426;0,0004
Xception+ResNet50;PCA;Logistic;10;305152;No;300;0;97,0588;97,2973;97,3684;118,0442;7;0,0442;0,0003
Xception+ResNet50;PCA;RandomForest;1;305152;No;300;0;80;78,7879;80,8333;118,0442;7;0,3215;0,0087
Xception+ResNet50;PCA;RandomForest;2;305152;No;300;0;77,1429;71,4286;78,6232;118,0442;7;0,203;0,0072
Xception+ResNet50;PCA;RandomForest;3;305152;No;300;0;79,4118;81,0811;79,4118;118,0442;7;0,1985;0,0075
Xception+ResNet50;PCA;RandomForest;4;305152;No;300;0;61,7647;69,7674;58,9286;118,0442;7;0,2101;0,0074
Xception+ResNet50;PCA;RandomForest;5;305152;No;300;0;76,4706;76,4706;76,4706;118,0442;7;0,2103;0,0073
Xception+ResNet50;PCA;RandomForest;6;305152;No;300;0;73,5294;74,2857;73,6111;118,0442;7;0,2135;0,0079
Xception+ResNet50;PCA;RandomForest;7;305152;No;300;0;88,2353;88,8889;88,2353;118,0442;7;0,2196;0,0084
Xception+ResNet50;PCA;RandomForest;8;305152;No;300;0;85,2941;83,871;86,1111;118,0442;7;0,2188;0,0085
Xception+ResNet50;PCA;RandomForest;9;305152;No;300;0;76,4706;78,9474;79,9242;118,0442;7;0,2162;0,0082
Xception+ResNet50;PCA;RandomForest;10;305152;No;300;0;73,5294;75,6757;73,5088;118,0442;7;0,224;0,0087
