ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;PCC;ACC;F1;ROC;ExtractionTime;ReductionTime;ClassfTrainning;ClassfPredict
VGG16+VGG19;ReliefF;Gaussian;9;50176;No;75;0;79,4118;83,7209;78,4091;137,1858;14;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;10;50176;No;75;0;79,4118;81,0811;79,4737;137,1858;14;0,0022;0,0001
VGG16+VGG19;ReliefF;RBF;10;50176;No;75;0;82,3529;85;81,4035;137,1858;14;0,0025;0,0004
VGG16+VGG19;ReliefF;LinearSVM;10;50176;No;75;0;82,3529;83,3333;82,807;137,1858;14;0,0034;0,0002
VGG16+VGG19;ReliefF;MLP;10;50176;No;75;0;73,5294;76,9231;72,807;137,1858;14;0,3768;0,0002
VGG16+VGG19;ReliefF;Logistic;10;50176;No;75;0;85,2941;86,4865;85,4386;137,1858;14;0,0459;0,0001
VGG16+VGG19;ReliefF;RandomForest;10;50176;No;75;0;82,3529;84,2105;82,1053;137,1858;14;0,128;0,0093
VGG16+VGG19;ReliefF;Adaboost;10;50176;No;75;0;85,2941;85,7143;86,1404;137,1858;14;0,0828;0,0049
VGG16+VGG19;ReliefF;Gaussian;10;50176;No;75;0;79,4118;81,0811;79,4737;137,1858;14;0,0006;0,0001
Xception+ResNet50;ReliefF;J48;1;305152;No;50;0;74,2857;72,7273;75;127,1675;82;0,0015;0,0001
Xception+ResNet50;ReliefF;RBF;1;305152;No;50;0;82,8571;82,3529;84,1667;127,1675;82;0,0027;0,0003
Xception+ResNet50;ReliefF;LinearSVM;1;305152;No;50;0;80;80;81,6667;127,1675;82;0,0023;0,0002
Xception+ResNet50;ReliefF;MLP;1;305152;No;50;0;82,8571;82,3529;84,1667;127,1675;82;0,5494;0,0002
Xception+ResNet50;ReliefF;Logistic;1;305152;No;50;0;80;80;81,6667;127,1675;82;0,02;0,0001
Xception+ResNet50;ReliefF;RandomForest;1;305152;No;50;0;82,8571;78,5714;81,6667;127,1675;82;0,1694;0,0097
Xception+ResNet50;ReliefF;Adaboost;1;305152;No;50;0;82,8571;81,25;83,3333;127,1675;82;0,0651;0,0048
Xception+ResNet50;ReliefF;Gaussian;1;305152;No;50;0;77,1429;76,4706;78,3333;127,1675;82;0,0006;0,0001
Xception+ResNet50;ReliefF;J48;2;305152;No;50;0;80;77,4194;84,7826;127,1675;82;0,0019;0,0001
Xception+ResNet50;ReliefF;RBF;2;305152;No;50;0;88,5714;84,6154;89,3116;127,1675;82;0,0023;0,0003
Xception+ResNet50;ReliefF;LinearSVM;2;305152;No;50;0;85,7143;82,7586;89,1304;127,1675;82;0,0018;0,0002
Xception+ResNet50;ReliefF;MLP;2;305152;No;50;0;82,8571;80;86,9565;127,1675;82;0,4407;0,0002
Xception+ResNet50;ReliefF;Logistic;2;305152;No;50;0;82,8571;78,5714;84,9638;127,1675;82;0,0217;0,0001
Xception+ResNet50;ReliefF;RandomForest;2;305152;No;50;0;91,4286;88,8889;93,4783;127,1675;82;0,1232;0,0099
Xception+ResNet50;ReliefF;Adaboost;2;305152;No;50;0;85,7143;82,7586;89,1304;127,1675;82;0,0824;0,0043
Xception+ResNet50;ReliefF;Gaussian;2;305152;No;50;0;85,7143;81,4815;87,1377;127,1675;82;0,0005;0,0002
Xception+ResNet50;ReliefF;J48;3;305152;No;50;0;70,5882;72,2222;70,5882;127,1675;83;0,002;0,0001
Xception+ResNet50;ReliefF;RBF;3;305152;No;50;0;91,1765;90,9091;91,1765;127,1675;83;0,0025;0,0004
Xception+ResNet50;ReliefF;LinearSVM;3;305152;No;50;0;88,2353;88,2353;88,2353;127,1675;83;0,002;0,0002
Xception+ResNet50;ReliefF;MLP;3;305152;No;50;0;88,2353;88,8889;88,2353;127,1675;83;0,7357;0,0003
Xception+ResNet50;ReliefF;Logistic;3;305152;No;50;0;88,2353;88,2353;88,2353;127,1675;83;0,0178;0,0001
Xception+ResNet50;ReliefF;RandomForest;3;305152;No;50;0;88,2353;88,2353;88,2353;127,1675;83;0,128;0,0099
Xception+ResNet50;ReliefF;Adaboost;3;305152;No;50;0;82,3529;81,25;82,3529;127,1675;83;0,076;0,005
Xception+ResNet50;ReliefF;Gaussian;3;305152;No;50;0;91,1765;90,3226;91,1765;127,1675;83;0,0005;0,0001
Xception+ResNet50;ReliefF;J48;4;305152;No;50;0;85,2941;87,8049;84,2857;127,1675;82;0,0018;0,0001
Xception+ResNet50;ReliefF;RBF;4;305152;No;50;0;79,4118;82,9268;78,2143;127,1675;82;0,0024;0,0004
Xception+ResNet50;ReliefF;LinearSVM;4;305152;No;50;0;91,1765;93,0233;89,2857;127,1675;82;0,002;0,0002
Xception+ResNet50;ReliefF;MLP;4;305152;No;50;0;79,4118;83,7209;77,1429;127,1675;82;0,5902;0,0002
Xception+ResNet50;ReliefF;Logistic;4;305152;No;50;0;88,2353;90,4762;86,7857;127,1675;82;0,0192;0,0001
Xception+ResNet50;ReliefF;RandomForest;4;305152;No;50;0;85,2941;88,3721;83,2143;127,1675;82;0,1283;0,0143
Xception+ResNet50;ReliefF;Adaboost;4;305152;No;50;0;85,2941;87,8049;84,2857;127,1675;82;0,0853;0,0049
Xception+ResNet50;ReliefF;Gaussian;4;305152;No;50;0;85,2941;88,3721;83,2143;127,1675;82;0,0006;0,0001
Xception+ResNet50;ReliefF;J48;5;305152;No;50;0;82,3529;83,3333;82,3529;127,1675;83;0,0019;0,0001
Xception+ResNet50;ReliefF;RBF;5;305152;No;50;0;79,4118;80;79,4118;127,1675;83;0,0026;0,0004
Xception+ResNet50;ReliefF;LinearSVM;5;305152;No;50;0;82,3529;83,3333;82,3529;127,1675;83;0,0021;0,0002
Xception+ResNet50;ReliefF;MLP;5;305152;No;50;0;85,2941;86,4865;85,2941;127,1675;83;0,5648;0,0002
Xception+ResNet50;ReliefF;Logistic;5;305152;No;50;0;94,1176;94,1176;94,1176;127,1675;83;0,0209;0,0001
Xception+ResNet50;ReliefF;RandomForest;5;305152;No;50;0;82,3529;83,3333;82,3529;127,1675;83;0,1387;0,0162
Xception+ResNet50;ReliefF;Adaboost;5;305152;No;50;0;88,2353;89,4737;88,2353;127,1675;83;0,07;0,0052
Xception+ResNet50;ReliefF;Gaussian;5;305152;No;50;0;82,3529;82,3529;82,3529;127,1675;83;0,0006;0,0001
Xception+ResNet50;ReliefF;J48;6;305152;No;50;0;79,4118;78,7879;79,8611;127,1675;86;0,0019;0,0001
