FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
Xception+ResNet50,PCA,No,300,PCC,0.6842,0.7273,0.8205,0.8182,0.7895,0.8108,0.7568,0.8095,0.7317,0.8421,0.7791,0.0487
Xception+ResNet50,PCA,No,300,J48,0.6667,0.5625,0.8421,0.7,0.8571,0.8235,0.8421,0.7879,0.7568,0.8,0.7639,0.0897
Xception+ResNet50,PCA,No,300,RBF,0.8966,0.9231,0.8889,0.8372,0.9412,0.9444,0.8485,0.9189,0.9268,0.8947,0.902,0.0346
Xception+ResNet50,PCA,No,300,LinearSVM,0.9375,0.8276,0.9412,0.9048,0.9412,0.9091,0.8485,1,0.9302,0.9143,0.9154,0.0464
Xception+ResNet50,PCA,No,300,MLP,0.6111,0.5556,0.6667,0.6977,0.6667,0.7143,0.6818,0.8,0.7143,0.6667,0.6775,0.0615
Xception+ResNet50,PCA,No,300,Logistic,0.9375,0.8276,0.9143,0.9048,0.9444,0.9412,0.8824,1,0.9302,0.973,0.9255,0.0454
Xception+ResNet50,PCA,No,300,RandomForest,0.7879,0.7143,0.8108,0.6977,0.7647,0.7429,0.8889,0.8387,0.7895,0.7568,0.7792,0.0545
Xception+ResNet50,PCA,No,300,Adaboost,0.7879,0.7857,0.9091,0.8571,0.8387,0.8571,0.8235,0.8333,0.9048,0.8421,0.8439,0.0392
Xception+ResNet50,PCA,No,300,Gaussian,0.75,0.7143,0.7568,0.6341,0.625,0.7429,0.7222,0.75,0.8,0.6842,0.7179,0.0527
Xception+ResNet50,UMAP,No,300,PCC,0.7429,0.75,0.8421,0.8293,0.7568,0.8421,0.75,0.8205,0.8511,0.8947,0.8079,0.0509
Xception+ResNet50,UMAP,No,300,J48,0.6875,0.7692,0.7568,0.8372,0.7097,0.6875,0.7027,0.7692,0.7907,0.8108,0.7521,0.0504
Xception+ResNet50,UMAP,No,300,RBF,0.6316,0.6316,0.7619,0.8,0.7027,0.8,0.6842,0.75,0.7692,0.8095,0.7341,0.0641
Xception+ResNet50,UMAP,No,300,LinearSVM,0.6842,0.6857,0.7805,0.8444,0.7368,0.8293,0.7805,0.7805,0.8696,0.8571,0.7849,0.0634
Xception+ResNet50,UMAP,No,300,MLP,0.3158,0.2857,0.68,0.7407,0.75,0.6923,0.68,0,0.7857,0.7059,0.5636,0.2521
Xception+ResNet50,UMAP,No,300,Logistic,0.7647,0.7742,0.8205,0.8372,0.7647,0.8947,0.7895,0.8718,0.8372,0.8718,0.8226,0.0454
Xception+ResNet50,UMAP,No,300,RandomForest,0.7879,0.7857,0.8889,0.8636,0.8571,0.7647,0.8125,0.8947,0.8182,0.8947,0.8368,0.0466
Xception+ResNet50,UMAP,No,300,Adaboost,0.75,0.7407,0.8485,0.8293,0.8333,0.7429,0.7333,0.7647,0.7805,0.8889,0.7912,0.0518
Xception+ResNet50,UMAP,No,300,Gaussian,0.6857,0.7407,0.8,0.7907,0.8235,0.8205,0.7027,0.8,0.8,0.8718,0.7836,0.0544
VGG16+VGG19,PCA,No,300,PCC,0.5714,0.5263,0.6154,0.65,0.7368,0.6486,0.6667,0.6316,0.5854,0.6957,0.6328,0.0584
VGG16+VGG19,PCA,No,300,J48,0.5806,0.5806,0.6857,0.7692,0.7647,0.6667,0.6,0.7368,0.7368,0.75,0.6871,0.0723
VGG16+VGG19,PCA,No,300,RBF,0.7333,0.7586,0.8889,0.8,0.7333,0.8889,0.8889,0.8824,0.9524,0.8947,0.8421,0.0745
VGG16+VGG19,PCA,No,300,LinearSVM,0.8485,0.8,0.8333,0.8372,0.9143,0.7778,0.8718,0.9189,0.9268,0.8,0.8529,0.0508
VGG16+VGG19,PCA,No,300,MLP,0.6667,0.6286,0.6829,0.7556,0.6667,0.6829,0.7027,0.6977,0.8182,0.6341,0.6936,0.0538
VGG16+VGG19,PCA,No,300,Logistic,0.8485,0.8,0.8571,0.8182,0.9143,0.7778,0.8718,0.973,0.9524,0.8,0.8613,0.0634
VGG16+VGG19,PCA,No,300,RandomForest,0.5333,0.6,0.7895,0.8421,0.5714,0.7742,0.6,0.8,0.7222,0.7692,0.7002,0.1064
VGG16+VGG19,PCA,No,300,Adaboost,0.6857,0.6429,0.7895,0.8,0.8125,0.7429,0.7647,0.8235,0.8,0.7619,0.7624,0.0551
VGG16+VGG19,PCA,No,300,Gaussian,0.4516,0.6667,0.7895,0.7,0.5333,0.7879,0.6667,0.7273,0.7568,0.6341,0.6714,0.1037
VGG16+VGG19,UMAP,No,300,PCC,0.75,0.8148,0.8205,0.7826,0.7333,0.6857,0.6286,0.7027,0.8163,0.7429,0.7477,0.06
VGG16+VGG19,UMAP,No,300,J48,0.5789,0.6,0.6667,0.65,0.7429,0.5517,0.6471,0.7368,0.5,0.6061,0.628,0.073
VGG16+VGG19,UMAP,No,300,RBF,0.6,0.5106,0.6667,0.7407,0.6667,0.6923,0.6667,0.6923,0,0.717,0.5953,0.2078
VGG16+VGG19,UMAP,No,300,LinearSVM,0.6471,0.6471,0.8095,0.7442,0.75,0.7179,0.5161,0.7179,0.7273,0.7368,0.7014,0.0765
VGG16+VGG19,UMAP,No,300,MLP,0.6522,0,0.6977,0,0.6667,0.6923,0,0.6923,0,0.6154,0.4017,0.3287
VGG16+VGG19,UMAP,No,300,Logistic,0.7097,0.7097,0.8205,0.8182,0.7647,0.6286,0.5882,0.8095,0.8261,0.7568,0.7432,0.0793
VGG16+VGG19,UMAP,No,300,RandomForest,0.7586,0.7857,0.8421,0.8182,0.7647,0.7429,0.7273,0.7222,0.8,0.7059,0.7668,0.042
VGG16+VGG19,UMAP,No,300,Adaboost,0.6667,0.6923,0.8,0.8095,0.7742,0.7059,0.6286,0.7027,0.7317,0.7,0.7212,0.0551
VGG16+VGG19,UMAP,No,300,Gaussian,0.7333,0.6957,0.7778,0.85,0.6897,0.6452,0.6061,0.6857,0.7442,0.7027,0.713,0.0649
Xception+ResNet50,PCA,No,250,PCC,0.6452,0.6429,0.85,0.8837,0.85,0.8333,0.75,0.8,0.7368,0.8205,0.7812,0.0807
Xception+ResNet50,PCA,No,250,J48,0.5333,0.7692,0.7429,0.65,0.8235,0.8485,0.8108,0.7027,0.8095,0.7442,0.7435,0.0903
Xception+ResNet50,PCA,No,250,RBF,0.8667,0.9167,0.9143,0.8636,0.9143,0.9444,0.8824,0.8824,0.9268,0.9231,0.9035,0.0262
Xception+ResNet50,PCA,No,250,LinearSVM,0.9375,0.8276,0.9143,0.9091,0.9412,0.8824,0.9091,0.9412,0.9048,0.95,0.9117,0.0345
Xception+ResNet50,PCA,No,250,MLP,0.6,0.6452,0.7429,0.7805,0.7568,0.8205,0.5714,0.5263,0.7805,0.7027,0.6927,0.0958
Xception+ResNet50,PCA,No,250,Logistic,0.9375,0.8571,0.9143,0.8889,0.9412,0.8824,0.9091,0.9714,0.9302,0.95,0.9182,0.033
Xception+ResNet50,PCA,No,250,RandomForest,0.8125,0.75,0.7778,0.8,0.8485,0.7097,0.8125,0.7879,0.7895,0.8108,0.7899,0.0363
Xception+ResNet50,PCA,No,250,Adaboost,0.8387,0.7333,0.9143,0.8511,0.9143,0.8824,0.8125,0.8649,0.9,0.9189,0.863,0.055
Xception+ResNet50,PCA,No,250,Gaussian,0.75,0.7143,0.7317,0.7143,0.6471,0.7429,0.6667,0.7879,0.8,0.65,0.7205,0.0507
Xception+ResNet50,UMAP,No,250,PCC,0.7429,0.75,0.8421,0.8095,0.7568,0.8108,0.75,0.8649,0.8,0.8718,0.7999,0.0463
Xception+ResNet50,UMAP,No,250,J48,0.8125,0.7143,0.7568,0.7907,0.7429,0.8333,0.7273,0.7027,0.7692,0.7647,0.7614,0.0399
Xception+ResNet50,UMAP,No,250,RBF,0.6486,0.6857,0.7619,0.8,0.7027,0.75,0.6842,0.75,0.7907,0.8293,0.7403,0.0553
Xception+ResNet50,UMAP,No,250,LinearSVM,0.6842,0.7059,0.7805,0.8444,0.7179,0.85,0.7805,0.7805,0.8696,0.8571,0.7871,0.0641
Xception+ResNet50,UMAP,No,250,MLP,0.5517,0,0.7556,0.7407,0.5455,0.7727,0.6667,0,0.7857,0,0.4819,0.3253
Xception+ResNet50,UMAP,No,250,Logistic,0.7429,0.8,0.7692,0.8372,0.7568,0.8649,0.7368,0.8205,0.7317,0.9,0.796,0.0553
Xception+ResNet50,UMAP,No,250,RandomForest,0.7879,0.7333,0.9189,0.8372,0.8571,0.8235,0.7742,0.8,0.8571,0.9189,0.8308,0.057
Xception+ResNet50,UMAP,No,250,Adaboost,0.7647,0.7143,0.8947,0.8,0.8333,0.8485,0.6857,0.7568,0.7027,0.7895,0.779,0.0641
Xception+ResNet50,UMAP,No,250,Gaussian,0.7429,0.8276,0.7692,0.8444,0.8235,0.8421,0.7222,0.8,0.8095,0.8947,0.8076,0.0488
VGG16+VGG19,PCA,No,250,PCC,0.5294,0.5714,0.7368,0.7111,0.6471,0.5556,0.6341,0.6829,0.6829,0.6667,0.6418,0.0655
VGG16+VGG19,PCA,No,250,J48,0.4444,0.5385,0.6842,0.6667,0.8333,0.7059,0.625,0.75,0.8696,0.6452,0.6763,0.1203
VGG16+VGG19,PCA,No,250,RBF,0.6897,0.7692,0.9143,0.8205,0.7333,0.8235,0.8889,0.8485,0.9268,0.9444,0.8359,0.0812
VGG16+VGG19,PCA,No,250,LinearSVM,0.8824,0.7586,0.8649,0.8372,0.8485,0.8421,0.7429,0.973,0.9302,0.9,0.858,0.0669
VGG16+VGG19,PCA,No,250,MLP,0.6667,0.5,0.8333,0.7179,0.5,0.7222,0.7222,0.7879,0.7143,0.7027,0.6867,0.1031
VGG16+VGG19,PCA,No,250,Logistic,0.8571,0.7586,0.8889,0.8636,0.875,0.8421,0.7222,0.973,0.9302,0.9,0.8611,0.0707
VGG16+VGG19,PCA,No,250,RandomForest,0.5333,0.5926,0.8,0.8108,0.6,0.8125,0.75,0.8,0.7059,0.8108,0.7216,0.1022
VGG16+VGG19,PCA,No,250,Adaboost,0.6875,0.5517,0.8824,0.8095,0.5333,0.6452,0.7895,0.8,0.8636,0.7429,0.7306,0.1164
VGG16+VGG19,PCA,No,250,Gaussian,0.4516,0.625,0.7895,0.7273,0.5161,0.7647,0.7568,0.7059,0.8205,0.6667,0.6824,0.114
VGG16+VGG19,UMAP,No,250,PCC,0.6875,0.8,0.8108,0.8095,0.7097,0.6857,0.6286,0.6667,0.766,0.7568,0.7321,0.0618
VGG16+VGG19,UMAP,No,250,J48,0.6667,0.7143,0.6061,0.7556,0.7879,0.5143,0.6286,0.5789,0.7143,0.6061,0.6573,0.0812
VGG16+VGG19,UMAP,No,250,RBF,0.6,0.5106,0.6667,0.7407,0.6667,0.6923,0.6667,0.6923,0,0.717,0.5953,0.2078
VGG16+VGG19,UMAP,No,250,LinearSVM,0.6111,0.6,0.7317,0.7727,0.7273,0.7179,0.6857,0.7368,0.7143,0.7692,0.7067,0.056
VGG16+VGG19,UMAP,No,250,MLP,0.5714,0,0.6667,0.7059,0.6667,0.6923,0.6667,0,0,0.5882,0.4558,0.301
VGG16+VGG19,UMAP,No,250,Logistic,0.6667,0.7333,0.7692,0.8182,0.75,0.6471,0.6286,0.75,0.8085,0.7692,0.7341,0.0623
VGG16+VGG19,UMAP,No,250,RandomForest,0.7333,0.7586,0.8108,0.8444,0.7333,0.6667,0.5625,0.7568,0.7619,0.7429,0.7371,0.0734
VGG16+VGG19,UMAP,No,250,Adaboost,0.6667,0.5926,0.7778,0.75,0.7586,0.5,0.6286,0.5294,0.7317,0.7059,0.6641,0.0933
VGG16+VGG19,UMAP,No,250,Gaussian,0.6923,0.6364,0.7778,0.7568,0.5926,0.6452,0.5161,0.5882,0.7,0.7059,0.6611,0.0769
Xception+ResNet50,PCA,No,200,PCC,0.6667,0.6207,0.85,0.8085,0.7429,0.9143,0.8421,0.9,0.7805,0.8095,0.7935,0.0898
Xception+ResNet50,PCA,No,200,J48,0.6,0.7097,0.8421,0.8095,0.8108,0.8485,0.8235,0.6486,0.8,0.8095,0.7702,0.082
Xception+ResNet50,PCA,No,200,RBF,0.8667,0.9167,0.9412,0.8837,0.9143,0.9444,0.8824,0.8824,0.9,0.9474,0.9079,0.0279
Xception+ResNet50,PCA,No,200,LinearSVM,0.8276,0.8276,0.8889,0.9268,0.9412,0.9091,0.9091,0.9444,0.9302,0.9189,0.9024,0.0405
Xception+ResNet50,PCA,No,200,MLP,0.7143,0.6923,0.8824,0.8718,0.7273,0.6471,0.6,0.8235,0.8421,0.7568,0.7557,0.0917
Xception+ResNet50,PCA,No,200,Logistic,0.8667,0.8571,0.9143,0.9048,0.9143,0.875,0.9091,0.9714,0.9302,0.9474,0.909,0.034
